@info
{
    "table":{
        "name":"gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT,label:INTEGER
38,385,3258,b'Enemy Territory: Quake Wars',b'Geometry Wars: Retro Evolved',05/27/2008,11/22/2005,0
39,509,5686,b'Guitar Hero III: Legends of Rock',"b""Assassin's Creed III: The Tyranny of King Washington - The Infamy""",10/28/2007,02/19/2013,0
40,1201,3145,b'The History Channel: Civil War: Secret Missions',b'Call of Duty: World at War - Map Pack 2',11/04/2008,06/11/2009,0
41,1104,5494,b'Sonic the Hedgehog 4: Episode 1',b'3 in 1: Game Compilation',10/13/2010,05/18/2010,0
42,891,5849,b'Penny Arcade Adventures: Episode Two',b'Xbox Live Arcade Unplugged Volume 1',10/29/2008,09/05/2006,0
43,150,932,b'Borderlands: The Pre-Sequel',b'Borderlands 2',10/17/2014,09/18/2012,0
44,3209,2439,b'Karaoke Revolution Glee: Volume 3',b'Karaoke Revolution: Glee - Volume 2',11/22/2011,04/05/2011,0
45,3150,5261,b'Harry Potter and the Deathly Hallows Part 2',b'Harry Potter and the Half-Blood Prince',07/12/2011,06/30/2009,0
46,3387,2657,b'Night at the Museum: Battle of the Smithsonian',b'Bio Hazard Battle',05/05/2009,02/26/2007,0
47,1251,5791,b'Tiger Woods PGA Tour 14',b'Tiger Woods PGA Tour 08',03/26/2013,08/28/2007,0
48,647,6453,"b""Let's Dance with Mel B""",b'Man vs. Wild with Bear Grylls',04/24/2012,04/12/2011,0
49,446,4270,"b""Final Fantasy XIII-2 Collector's Edition""",b'Final Fantasy XIII-2: DLC Bundle Pack',01/31/2012,07/16/2013,0
50,918,4925,b'Pro Evolution Soccer 2008',b'Worldwide Soccer Manager 2008',03/11/2008,03/28/2008,0
51,1731,4682,b'Dynasty Warriors 6',b'Galaxy Fight: Universal Warriors',02/19/2008,01/01/2010,0
52,2859,4117,b'Angry Birds Star Wars',b'BWii: Battalion Wars 2',,10/29/2007,0
53,725,2733,b'Metal Gear Solid HD Collection',b'Metal Gear Solid HD Collection',11/08/2011,11/08/2011,1
54,2800,5600,b'Worms Revolution',b'Worms 2: Armageddon',10/09/2012,09/08/2010,0
55,59,2569,"b""Assassin's Creed IV: Black Flag""",b'BioShock & The Elder Scrolls IV: Oblivion Bundle',10/29/2013,07/07/2009,0
56,1025,442,b'Saints Row IV',b'Saints Row IV: Enter the Dominatrix',08/20/2013,10/22/2013,0
57,648,6193,b'Lightning Returns: Final Fantasy XIII',"b""Final Fantasy XIII-2: Noel's Outfit - N7 Armor""",02/11/2014,06/11/2013,0
58,655,1375,b'London 2012 - The Official Video Game of the Olympic Games',b'LEGO Pirates of the Caribbean: The Video Game',06/26/2012,05/10/2011,0
59,2373,180,b'Resident Evil: Operation Raccoon City',b'Resident Evil: Chronicles HD Collection',03/20/2012,06/27/2012,0
60,1606,5344,b'Comet Crash',b'Crash Bandicoot 2: Cortex Strikes Back',04/02/2009,01/10/2008,0
61,1453,244,"b""Assassin's Creed Ezio Trilogy""","b""Assassin's Creed III: The Tyranny of King Washington - The Redemption""",11/13/2012,04/23/2013,0
62,1459,231,"b""Assassin's Creed: Brotherhood""","b""Assassin's Creed: Brotherhood - Copernicus Conspiracy Missions""",11/16/2010,11/01/2010,0
63,3700,1261,b'Wii Chess',b'Wii Play',01/28/2008,02/12/2007,0
64,3050,6601,b'EA Sports Active 2',b'EA Playground',11/16/2010,09/07/2007,0
65,1040,2122,b'SBK X: Superbike World Championship',b'Disney\xe2\x80\xa2Pixar Cars: Mater-National Championship',12/07/2010,10/29/2007,0
66,2520,516,b'SingStar: The Wiggles',b'SingStar ABBA',11/25/2010,12/02/2008,0
67,3566,1978,b'Super Mario All-Stars Wii',b'New Super Mario Bros. Wii',10/31/2010,11/15/2009,0
68,1062,1502,b'Shellshock 2: Blood Trails',b'Saw II: Flesh & Blood',02/24/2009,11/11/2010,0
69,189,2489,b'Call of Juarez: Bound in Blood',b'Call of Duty: Black Ops II - Viper MP Personalization Pack',06/30/2009,03/13/2013,0
70,2514,519,b'SingStar Vasco',b'SingStar Queen',11/18/2009,03/20/2009,0
71,1457,232,"b""Assassin's Creed IV: Black Flag""","b""Assassin's Creed: Brotherhood - The Da Vinci Disappearance""",10/29/2013,03/08/2011,0
72,1342,5834,b'Warriors Orochi 3',b'Dynasty Warriors: Strikeforce',03/27/2012,10/01/2009,0
73,371,1498,b'Dynasty Warriors 7',b'Samurai Warriors 2',03/29/2011,09/19/2006,0
74,507,2130,b'Guitar Hero 5',b'DJ Hero 2',09/01/2009,10/19/2010,0
75,509,5685,b'Guitar Hero III: Legends of Rock',"b""Assassin's Creed III: The Tyranny of King Washington - The Betrayal""",10/28/2007,03/19/2013,0
76,3050,2758,b'EA Sports Active 2',b'Deca Sports',11/16/2010,05/13/2008,0
77,2899,2760,b'Big Beach Sports 2',b'Deca Sports 3',06/18/2010,10/26/2010,0
78,2129,3677,b'Monster Madness: Grave Danger',b'Monster Bass!',08/05/2008,10/25/2011,0
79,1267,462,b'Tomb Raider (2013)',b'Tomb Raider: Underworld - Beneath the Ashes',03/05/2013,02/24/2009,0
80,1174,4713,b'The Adventures of Tintin: The Game',b'The Adventures of Tintin: The Game',12/06/2011,10/21/2011,1
81,2436,2001,b'Saints Row IV',b'Saints Row IV: Enter the Dominatrix',08/20/2013,10/22/2013,0
82,1269,1194,"b""Tomb Raider Survival/Collector's Edition""",b'Tomb Raider: HX AP-15',03/05/2013,03/05/2013,1
83,479,3246,b'Gears of War: Judgment',b'Gears of War 3',03/19/2013,09/20/2011,0
84,1200,6366,b'The History Channel: Civil War - A Nation Divided',b'Space Channel 5: Part 2',11/10/2006,10/05/2011,0
85,1134,3767,b'Star Wars: The Force Unleashed',b'Skylanders: Swap Force - Scratch / Fryno / Thorn Horn Camo',09/16/2008,05/29/2014,0
86,2235,5615,b'NPPL Championship Paintball 2009',b'WWE Smackdown vs. Raw 2009',11/18/2008,11/09/2008,0
87,1265,6567,"b""Tom Clancy's Splinter Cell: Conviction""","b""Tom Clancy's H.A.W.X 2""",04/13/2010,09/02/2010,0
88,2408,2690,b'Rock of the Dead',b'Rock Band (Special Edition)',10/19/2010,11/20/2007,0
89,1607,1429,b'Command & Conquer: Red Alert 3 Ultimate Edition',b'Red Faction: Armageddon - Path to War',03/23/2009,08/02/2011,0
90,753,6498,b'Monster Madness: Battle for Suburbia',b'Warhammer: Mark of Chaos - Battle March',06/12/2007,09/02/2008,0
91,813,265,b'NBA Street Homecourt',b'NBA Live 10',02/20/2007,10/05/2009,0
92,2071,2536,b'Marvel vs. Capcom 3: Fate of Two Worlds (Special Edition)',b'Biohazard 6 (Premium Edition)',02/15/2011,10/05/2012,0
93,3173,6613,b'Hysteria Hospital: Emergency Ward',b'Emergency Mayhem',06/16/2009,04/15/2008,0
94,1226,3542,b'The Walking Dead',b'The Walking Dead: Season Two - Episode 5: No Going Back',04/27/2012,08/27/2014,0
95,3085,1847,b'Final Fantasy Crystal Chronicles: My Life as a Dark Lord',b'Final Fantasy III',07/20/2009,06/30/2011,0
96,1001,6401,b'Rock Band: Country Track Pack 2',b'Rock Band 2',02/01/2011,09/14/2008,0
97,1480,6163,b'Batman: Arkham Asylum: Game of the Year Edition',b'Batman: Arkham City - Robin Bundle Pack',05/10/2010,11/22/2011,0
98,1039,4933,b'SBK Superbike World Championship',b'WRC 4: FIA World Rally Championship',11/08/2008,10/25/2013,0
99,2805,5614,b'WWE Legends of Wrestlemania',b'WWE Smackdown vs. Raw 2008',03/24/2009,11/13/2007,0
100,2244,6001,b'One Piece: Pirate Warriors',b'Pinball Arcade Season One Bundle',09/25/2012,05/21/2013,0
101,1135,3757,b'Star Wars: The Force Unleashed -- Ultimate Sith Edition',b'Skylanders: Swap Force - Mega Ram Spyro (Series 3) / Blizzard Chill (Series 2) / Zoo Lou',11/03/2009,10/13/2013,0
102,177,3123,b'Call of Duty 2',b'Call of Duty: Modern Warfare 2 (Prestige Edition)',10/25/2005,11/10/2009,0
103,2633,5434,b'Tekken Tag Tournament 2',b'Tekken',09/11/2012,06/15/2011,0
104,968,793,b'Red Faction: Armageddon',b'Red Faction: Armageddon',06/07/2011,06/07/2011,1
105,3000,4220,b'Death Jr.: Root of Evil',b'Resident Evil',05/27/2008,06/23/2009,0
106,541,1460,b'Hasbro Family Game Night 4: The Game Show',b'Forza Motorsport 3: AutoWeek Car Show Pack',11/01/2011,01/12/2010,0
107,2171,2231,b'NBA 09 The Inside',b'NBA 2K12',10/07/2008,10/04/2011,0
108,146,931,b'Borderlands - Game of the Year Edition',b'Borderlands',10/12/2010,10/20/2009,0
109,2371,4179,b'Resident Evil Raccoon City Special Edition',b'LittleBigPlanet 2: Special Edition',03/20/2012,11/15/2011,0
110,2365,1445,b'Resident Evil 4 HD',b'Resident Evil 5: Gold Edition',09/20/2011,02/18/2010,0
111,739,5312,b'Military Madness: Nectaris',b'Pinball Arcade Table Pack 1: Medieval Madness and The Machine: Bride of Pin*Bot',09/30/2009,05/18/2012,0
112,2002,655,b'LEGO Indiana Jones 2: The Adventure Continues',b'LEGO Batman 2: DC Super Heroes',11/17/2009,06/19/2012,0
113,2422,2189,b'Rugby World Cup 2011',b'PES 2011: Pro Evolution Soccer',09/06/2011,10/28/2010,0
114,1450,5616,b'Ashes Cricket 2009',"b""WWE Smackdown vs Raw 2009 (Collector's Edition)""",08/07/2009,01/01/2008,0
115,228,790,b'Command & Conquer: Red Alert 3',b'Red Dead Redemption: Game of the Year Edition',11/14/2008,10/11/2011,0
116,2869,4039,b'Around the World in 50 Games',b'Asterix at the Olympic Games',10/14/2010,11/22/2007,0
117,810,265,b'NBA Live 08',b'NBA Live 10',10/02/2007,10/05/2009,0
118,2714,6615,"b""Tom Clancy's Rainbow 6: Patriots""",b'Memories Off 6: Complete (Genteiban)',,06/27/2013,0
119,1739,2013,b'Dynasty Warriors: Gundam 3',b'Samurai Shodown: Warriors Rage',06/28/2011,04/26/2007,0
120,1006,1707,b'Rocketmen: Axis of Evil',"b""Resident Evil 6 (Collector's Edition)""",03/05/2008,10/02/2012,0
121,1257,412,"b""Tom Clancy's Ghost Recon Advanced Warfighter""",b'Twin Ghost',03/09/2006,02/20/2009,0
122,700,3534,b'Marvel Ultimate Alliance / Forza 2 Combo Pack',b'Viva Pi\xc3\xb1ata / Forza Motorsport 2',05/29/2007,11/02/2007,0
123,456,5373,b'Forza Motorsport 3',"b""Forza Motorsport 4 (Limited Collector's Edition)""",10/27/2009,10/11/2011,0
124,2778,6438,b'Warhammer 40,000: Space Marine',b'Space Channel 5: Part 2',09/06/2011,0
125,2376,4726,b'Resident Evil: The Umbrella Chronicles',b'Dragon Age: Origins -  The Darkspawn Chronicles',07/17/2012,05/18/2010,0
126,2519,1622,b'SingStar: Polskie Hity',b'SingStar Vol.2',09/02/2009,10/28/2008,0
127,239,3080,b'Crash: Mind Over Mutant',b'Crash of the Titans',10/07/2008,10/02/2007,0
128,1661,869,b'Deadliest Warrior: Ancient Combat',b'Ace Combat: Assault Horizon (Limited Edition)',04/16/2012,10/14/2011,0
129,190,2478,b'Call of Juarez: Cartel',b'Call of Duty: Black Ops II - Dia de los Muertos MP Personalization Pack',07/19/2011,03/13/2013,0
130,1270,1188,b'Tomb Raider: Legend',b'Tomb Raider: Fisherman',04/11/2006,03/05/2013,0
131,61,5683,"b""Assassin's Creed Rogue""","b""Assassin's Creed III (Freedom Edition)""",11/11/2014,10/31/2012,0
132,899,6460,b'Pinball FX 2: Marvel Pinball',b'Marvel Ultimate Alliance',12/08/2010,10/24/2006,0
133,2930,1883,"b""Cabela's Outdoor Adventures""","b""Indiana Jones' Greatest Adventures""",09/09/2009,11/16/2009,0
134,601,3370,b'Kinect Disneyland Adventures',b'Kinect Adventures!',11/15/2011,11/04/2010,0
135,808,5848,b'NBA Live 06',b'Xbox Live Arcade Compilation Disc',09/26/2005,01/01/2007,0
136,978,1703,b'Resident Evil 6 Archives',b'Resident Evil 5 (Limited Edition)',10/02/2012,03/13/2009,0
137,3566,1263,b'Super Mario All-Stars Wii',b'Wii Sports Resort',10/31/2010,07/26/2009,0
138,660,2937,b'Lost Planet: Extreme Condition Colonies Edition',b'Lost Planet: Extreme Condition',05/27/2008,01/12/2007,0
139,40,872,b'Angry Birds Star Wars',b'Angry Birds: Star Wars',10/29/2013,10/29/2013,1
140,2970,3621,b'Crash Car Racer',b'Crash of the Titans',03/29/2011,10/02/2007,0
141,2060,135,b'Major League Baseball 2K12',b'Major League Baseball 2K7',03/06/2012,02/27/2007,0
142,527,5457,b'Halo: Combat Evolved Anniversary',b'Halo 4 (Limited Edition)',11/15/2011,11/06/2012,0
143,815,272,b'NCAA Basketball 09',b'NCAA Football 13',11/17/2008,07/10/2012,0
144,2712,4061,"b""Tom Clancy's H.A.W.X""","b""Tom Clancy's H.A.W.X 2""",03/03/2009,09/09/2010,0
145,184,3137,b'Call of Duty: Ghosts',b'Call of Duty: MW3 - Content Pack 7',11/05/2013,07/17/2012,0
146,3040,5112,b'Dragon Quest X',b'Dragon Quest Monsters: Battle Road Victory',,07/15/2010,0
147,2224,829,b'NHL 2K9',b'NHL 2K8',09/08/2008,09/11/2007,0
148,105,4255,b'Ben 10: Omniverse',b'FIFA Soccer 10',11/13/2012,10/20/2009,0
149,2371,1443,b'Resident Evil Raccoon City Special Edition',"b""Resident Evil 5 (Collector's Edition)""",03/20/2012,03/13/2009,0
150,2614,3952,b'Super Street Fighter IV: Arcade Edition',b'Super Street Fighter IV',06/28/2011,04/27/2010,0
151,59,1291,"b""Assassin's Creed IV: Black Flag""",b'Super Street Fighter IV: Arcade Edition',10/29/2013,06/28/2011,0
152,1565,3561,b'Call of Duty Classic',b'Call of Duty: MW3 - Collection 2',12/02/2009,06/21/2012,0
153,1744,5598,b'EA Sports MMA',b'World Sports Competition',10/19/2010,05/30/2011,0
154,493,946,b'Grand Theft Auto IV: The Complete Edition',"b""The Elder Scrolls IV: Oblivion (Collector's Edition)""",10/26/2010,03/21/2006,0
155,1836,3398,b'God of War Collection',b'Ehrgeiz: God Bless the Ring',11/17/2009,07/09/2008,0
156,1384,3743,b'Yaiba: Ninja Gaiden Z',b'Ninja Gaiden II',03/18/2014,06/03/2008,0
157,1155,1485,b'Superman Returns',b'Lightning Returns: Final Fantasy XIII - Ultimate Savior',11/20/2006,11/25/2013,0
158,1651,1907,b'Dead Rising 2',b'Operation Flashpoint: Dragon Rising',09/28/2010,10/06/2009,0
159,2046,3649,b'Madden NFL 11',b'Madden NFL 07',08/10/2010,11/14/2006,0
160,2946,2307,"b""Cars Toon Mater's Tall Tales""",b'Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal',09/26/2011,07/27/2009,0
161,3087,3629,b'Final Fantasy Crystal Chronicles: The Crystal Bearers',b'Crystal Defenders',02/05/2010,01/27/2009,0
162,3705,1262,b'Wii Play',b'Wii Sports',12/08/2006,11/19/2006,0
163,1264,6570,"b""Tom Clancy's Splinter Cell: Blacklist""","b""Tom Clancy's Rainbow Six: Vegas 2""",08/20/2013,03/18/2008,0
164,2928,5921,"b""Cabela's Dangerous Hunts 2013""","b""Cabela's Big Game Hunter 2012""",,09/27/2011,0
165,604,3807,b'Kinect Rush: A Disney Pixar Adventure',b'Disney Infinity: Frozen Toy Box Pack',03/20/2012,11/26/2013,0
166,1740,3786,b'Dynasty Warriors: Strikeforce',b'Dynasty Warriors: Gundam',02/16/2010,08/28/2007,0
167,110,4669,b'Big League Sports',b'Big League Sports',11/08/2011,11/01/2011,1
168,810,262,b'NBA Live 08',b'NBA Live 07',10/02/2007,10/06/2006,0
169,1043,788,b'Scene It? Box Office Smash',b'Red Box Reality 001: Fading Memories',10/28/2008,03/17/2009,0
170,796,255,b'NBA 2K11',b'NBA 2K7',10/05/2010,09/25/2006,0
171,119,2552,b'BioShock Infinite: Burial at Sea',b'BioShock',,08/21/2007,0
172,2614,2840,b'Super Street Fighter IV: Arcade Edition',b'Street Fighter Alpha 3',06/28/2011,10/18/2011,0
173,1041,4933,b'SBK-09 Superbike World Championship',b'WRC 4: FIA World Rally Championship',05/29/2009,10/25/2013,0
174,2629,6220,b'Tekken 5: Dark Resurrection',b'The Chronicles of Riddick: Assault on Dark Athena',07/25/2006,04/07/2009,0
175,2258,1084,b'Penny Arcade Adventures: Episode One',b'Capcom Arcade Cabinet: 1984 Pack',10/23/2008,04/16/2013,0
176,1974,1778,b'Killer is Dead',b'Watchmen: The End is Nigh: Parts 1 and 2',08/27/2013,08/07/2009,0
177,1268,1176,b'Tomb Raider Anniversary',b'Tomb Raider',10/23/2007,03/05/2013,0
178,2367,1442,b'Resident Evil 5: Gold Edition',b'Resident Evil 5',03/09/2010,03/13/2009,0
179,329,3816,b'Disney Sing It: High School Musical 3: Senior Year',b'Disney Infinity: Wreck-it Ralph',02/17/2009,11/22/2013,0
180,2997,4412,b'Deadliest Catch: Sea of Chaos',b'Sea Monsters: A Prehistoric Adventure',11/29/2010,12/06/2007,0
181,1052,4933,b'Sega Rally Revo',b'WRC 4: FIA World Rally Championship',10/27/2007,10/25/2013,0
182,2389,2672,b'Rio',b'Rio',04/12/2011,04/12/2011,1
183,2460,3317,b'Sega Bass Fishing',b'Championship Bass',10/04/2011,01/21/2010,0
184,1803,2379,b'Final Fantasy XIII',b'Lightning Returns: Final Fantasy XIII - Art of War',03/09/2010,01/28/2014,0
185,189,3134,b'Call of Juarez: Bound in Blood',b'Call of Duty: MW3 - Content Pack 4',06/30/2009,04/10/2014,0
186,3474,2440,b'Rock Band Track Pack Volume 2',b'Karaoke Revolution: Glee - Volume 3',11/17/2008,11/22/2011,0
187,3463,3024,b'Resident Evil 4: Wii Edition',b'Resident Evil Zero',06/19/2007,07/10/2008,0
188,3018,5003,b'Disney Princess: My Fairytale Adventure',b'Disney Princess: Enchanted Journey',,10/30/2007,0
189,2644,3776,b'The Chronicles of Narnia: Prince Caspian',b'Dungeons & Dragons: Chronicles of Mystara',05/15/2008,06/18/2013,0
190,2530,3712,b'Skylanders Giants',b'Skylanders Giants: Lightning Rod (Series 2)',10/21/2012,12/21/2012,0
191,1708,5650,"b""Dragon Age: Origins - Collector's Edition""",b'Ice Age: Dawn of the Dinosaurs',11/03/2009,06/30/2009,0
192,2403,6078,b'Rock Band Track Pack Volume 2',b'X Games Asia Track Pack',11/17/2008,07/27/2011,0
193,899,5312,b'Pinball FX 2: Marvel Pinball',b'Pinball Arcade Table Pack 1: Medieval Madness and The Machine: Bride of Pin*Bot',12/08/2010,05/18/2012,0
194,2384,2045,b'Retro City Rampage',b'Batman: Arkham City - Game of the Year Edition',10/09/2012,05/29/2012,0
195,2362,5330,"b""Red Johnson's Chronicles - One Against All""",b'Command & Conquer: Red Alert 3 (Ultimate Edition)',09/11/2012,03/23/2009,0
196,2367,181,b'Resident Evil 5: Gold Edition',b'Resident Evil: Code: Veronica X',03/09/2010,09/27/2011,0
197,2942,4890,b'Carnival Games Mini Golf',b'World Party Games',10/20/2008,08/20/2009,0
198,1079,2407,b'SkyDrift',b'SkyDrift',09/07/2011,09/07/2011,1
199,918,5303,b'Pro Evolution Soccer 2008',b'PES 2012: Pro Evolution Soccer',03/11/2008,09/27/2011,0
200,785,6038,b'NASCAR 09',b'NASCAR 08',06/10/2008,07/23/2007,0
201,1804,2852,b'Final Fantasy XIII-2',b'Final Fantasy X | X-2 HD Remaster (Limited Edition)',01/31/2012,03/18/2014,0
202,3693,1254,b'We Ski & Snowboar',b'We Love Golf!',03/09/2009,07/16/2008,0
203,601,5384,b'Kinect Disneyland Adventures',b'Fruit Ninja Kinect',11/15/2011,08/10/2011,0
204,1381,6510,b'Xbox Live Arcade Unplugged," Vol. 1'",b'Watchmen: The End is Nigh: Parts 1 and 2',09/05/2006,0
205,762,4937,b'MotionSports: Play for Real',b'WSC Real 09: World Snooker Championship',11/04/2010,01/01/2009,0
206,2417,1752,b'Rockstar Games Collection: Edition 1',b'Tomb Raider: Hitman: Absolution Weapon Pack 1',10/30/2012,03/26/2013,0
207,1081,57,b'Skylanders Giants Portal Owners Pack',"b""Skylanders: Spyro's Adventure - Whirlwind / Double Trouble / Drill Sergeant""",10/21/2012,01/01/2012,0
208,978,1707,b'Resident Evil 6 Archives',"b""Resident Evil 6 (Collector's Edition)""",10/02/2012,10/02/2012,1
209,2230,4440,b'Ninja Gaiden Sigma',b'Super Robot Taisen \xce\xb1 Gaiden',07/03/2007,12/21/2011,0
210,1105,5783,b'Sonic the Hedgehog 4: Episode 2',"b""The Walking Dead: Season Two - Episode 3: In Harm's Way""",05/16/2012,05/14/2014,0
211,645,1383,b'LEGO The Lord of the Rings',b'LEGO The Lord of the Rings: Middle-earth Character Pack 2',11/13/2012,12/11/2012,0
212,1736,2995,b'Dynasty Warriors 8',b'Guitar Hero: Warriors of Rock',07/16/2013,09/28/2010,0
213,436,4255,b'FIFA 14',b'FIFA Soccer 10',09/24/2013,10/20/2009,0
214,1970,5604,b'Karaoke Revolution Presents: American Idol Encore 2',b'Worms Revolution',11/18/2008,10/09/2012,0
215,1680,3895,b'Devil May Cry 4',b'Far Cry: The Wild Expedition',02/05/2008,02/12/2014,0
216,2583,535,b'Spider-Man: Shattered Dimensions',b'The Amazing Spider-Man: Rhino Challenge',09/07/2010,09/25/2012,0
217,1082,3764,b'Skylanders Swap Force',b'Skylanders: Swap Force - Rattle Shake',,10/13/2013,0
218,799,6044,b'NBA 2K14',b'NBA 2K10',10/01/2013,10/06/2009,0
219,81,3065,b'Batman: Arkham City',"b""Batman: Arkham City (Collector's Edition)""",10/18/2011,10/18/2011,1
220,1120,6379,b'Spider-Man: Friend or Foe',b'Spider-Man: Friend or Foe',10/02/2007,10/02/2007,1
221,765,6066,b'MotoGP 09/10',b'MotoGP 13',03/23/2010,09/17/2013,0
222,2345,6358,b'Rayman Origins',b'Rayman Legends',11/24/2011,09/03/2013,0
223,3276,6728,b'Major League Baseball 2K9',b'Major League Baseball 2K8',03/03/2009,03/04/2008,0
224,2130,5981,b'Monster World IV',b'Grand Theft Auto IV (Complete Edition)',05/22/2012,10/27/2010,0
