pairId:INTEGER,tableA.id:INTEGER,tableA.title,tableA.price:FLOAT,tableA.brand:TEXT,tableA.weight,tableA.size,tableB.id:INTEGER,tableB.title,tableB.price:FLOAT,tableB.description,tableB.variation_size,tableB.size
61074,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,2764,jimmybar how bout dem apples   1.6 oz (pack of 6),16.95,jimmybar how bout,1.6,6.0
61347,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,3037,jimmybar super hip chocolate chip  1.6 oz (pack of 6),16.95,jimmybar super hip,1.6,6.0
61413,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,3103,jimmybar peanut butter clutter  1.6 oz (pack of 6),16.95,jimmybar peanut butter,1.6,6.0
62260,15,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,3950,walden farms  drssng cf russian  12 oz (pack of 6),30.96,walden farms ,12,6.0
63916,16,kind healthy grains maple quinoa clusters with chia seeds  11 oz,-1.0,Kind,11,NA,1441,kind healthy grains cinnamon oat clusters w flax seeds 11oz,10.01,kind healthy grains,11,NA
66206,16,kind healthy grains maple quinoa clusters with chia seeds  11 oz,-1.0,Kind,11,NA,3731,kind peanut butter whole grain clusters  11 oz,7.99,kind peanut butter,11,NA
71683,18,quaker chocolate chip instant oatmeal  1.23 oz  10 count,-1.0,Quaker Oatmeal,1.23,NA,878,quaker chewy granola bars  chocolate chip  18 count,4.49,quaker chewy granola,NA,NA
72895,18,quaker chocolate chip instant oatmeal  1.23 oz  10 count,-1.0,Quaker Oatmeal,1.23,NA,2090,quaker chewy chocolate chip granola bars  0.84 oz  24 count,14.99,quaker chewy chocolate,0.84,NA
75471,19,sprout rise organic purple berry & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,501,sprout rise morning multigrain crunch bites  red berry and beet  3.75 ounce,6.6,sprout rise morning,3.75,NA
75511,19,sprout rise organic purple berry & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,541,sprout rise morning multigrain crunch bites  orange fruit and carrot  3.75 ounce,8.76,sprout rise morning,3.75,NA
78319,19,sprout rise organic purple berry & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,3349,sprout rise morning multigrain crunch bites  purple berry and carrot  3.75 ounce,6.6,sprout rise morning,3.75,NA
79581,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,446,nature valley granola bars  crunchy  oats 'n honey8.9 oz (pack of 2),9.5,nature valley granola,8.9,2.0
80278,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,1143,nature valley oats 'n honey crunchy granola bars  1.5 oz  18 count,12.71,nature valley oats,1.5,NA
80296,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,1161,nature granola bars crunchy oats 'n honey 17.8 oz (pack of 18),150.44,nature granola bars,17.8,18.0
80313,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,1178,nature valley granola bars; crunchy oats 'n honey  1.5-oz.  28/box,95.96,nature valley granola,NA,NA
80373,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,1238,honey bunches of oats granola crunchy honey roasted 11 oz. (2 pack),13.49,honey bunches of,11,NA
80940,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,1805,honey bunches of oats granola crunchy raspberry 2pack (11oz each bag),10.99,honey bunches of,11,NA
82104,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,2969,nature crunchy granola bars oats 'n honey 8.9 oz (pack of 24),111.69,nature crunchy granola,8.9,24.0
82639,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,3504,nature's valley granola bars  crunchy oats n honey  60 count,15.89,nature's valley granola,NA,NA
82759,20,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,3624,nature valley crunchy granola bars oats 'n honey  96-count,25.99,nature valley crunchy,NA,NA
88374,22,natures path cereal 10oz pack of 12,76.23,NATURES PATH,10,12.0,909,2.50oz sc&onion pringles pack of 12,18.27,2.50oz sc&onion pringles,2.50,12.0
88959,22,natures path cereal 10oz pack of 12,76.23,NATURES PATH,10,12.0,1494,2.50oz bbq pringles pack of 12,18.27,2.50oz bbq pringles,2.50,12.0
92077,23,great value quick farina hot cereal  28 oz,-1.0,Great Value,28,NA,447,great value chewy fiber bars  5-1.4 oz (40g),14.0,great value chewy,1.4,NA
108592,27,quaker real medleys cherry pistachio oatmeal  2.57 oz,-1.0,Quaker Oatmeal,2.57,NA,302,quaker real medleys bars  cherry pistachio  13.4 ounce,12.72,quaker real medleys,13.4,NA
111485,27,quaker real medleys cherry pistachio oatmeal  2.57 oz,-1.0,Quaker Oatmeal,2.57,NA,3195,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA
115650,28,quaker real medleys apple walnut oatmeal  2.64 oz,-1.0,Quaker,2.64,NA,3195,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA
115737,28,quaker real medleys apple walnut oatmeal  2.64 oz,-1.0,Quaker,2.64,NA,3282,quaker real medleys bars  apple nut harvest  13.4 ounce,13.85,quaker real medleys,13.4,NA
117529,29,erewhon cereal 10oz pack of 12,71.48,Erewhon,10,12.0,909,2.50oz sc&onion pringles pack of 12,18.27,2.50oz sc&onion pringles,2.50,12.0
118114,29,erewhon cereal 10oz pack of 12,71.48,Erewhon,10,12.0,1494,2.50oz bbq pringles pack of 12,18.27,2.50oz bbq pringles,2.50,12.0
122833,30,kellogg's pop-tarts frosted strawberry toaster pastries  16 count  29.3 oz,3.5,Kellogg's Poptarts,29.3,NA,2048,kellogg's nutri-grain bars  strawberry  16 count,4.78,kellogg's nutri-grain bars,NA,NA
136475,33,quaker real medleys summer berry oatmeal  2.24 oz,-1.0,Quaker Oatmeal,2.24,NA,3195,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA
140640,34,quaker apples & cranberries instant oatmeal  1.79 oz,-1.0,Quaker Oatmeal,1.79,NA,3195,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA
146068,36,natures path granola 11oz pack of 8,60.36,NATURES PATH,11,8.0,293,natures path hempplus granola  11.5 oz,32.92,natures path hempplus,11.5,NA
154250,38,two moms in the raw granola 4ea pack of 6,71.48,Two Moms In The Raw,NA,6.0,145,two moms in the raw gojiberry bar (24x2oz ),95.28,two moms in,2,NA
158415,39,two moms in the raw granola 4ea pack of 6,74.34,Two Moms In The Raw,NA,6.0,145,two moms in the raw gojiberry bar (24x2oz ),95.28,two moms in,2,NA
167509,41,ancient harvest quinoa 6.5oz pack of 12,54.14,Ancient Harvest,6.5,12.0,909,2.50oz sc&onion pringles pack of 12,18.27,2.50oz sc&onion pringles,2.50,12.0
168094,41,ancient harvest quinoa 6.5oz pack of 12,54.14,Ancient Harvest,6.5,12.0,1494,2.50oz bbq pringles pack of 12,18.27,2.50oz bbq pringles,2.50,12.0
170961,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,196,nature valley granola bars oats & honey 6 oz box,9.72,nature valley granola,6,NA
172415,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,1650,nature valley sweet & salty nut peanut of 1.2 oz -48 bars,24.85,nature valley sweet,1.2,NA
172440,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,1675,pampa fruit & grain bars strawberry  6 oz (pack of 14),43.2,pampa fruit &,6,14.0
174035,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,3270,peanut sweet & salty chewy granola bars 10 count (8 boxes),33.0,peanut sweet &,NA,NA
174208,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,3443,fiber one - oats & chocolate  20 x 1.4 oz bars,7.87,fiber one -,1.4,NA
174326,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,3561,nature valley sweet and salty nut granola bars  cashew  6 count,2.98,nature valley sweet,NA,NA
174805,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,4040,nature valley sweet & salty peanut granola bar  7.4 oz,-1.0,nature valley sweet,7.4,NA
174914,42,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,4149,zoneperfect sweet & salty cashew pretzel nutrition bars  5 count,12.77,zoneperfect sweet &,NA,NA
176979,43,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,2049,quaker banana nut bread soft baked bars   7.4 oz (pack of 12),46.49,quaker banana nut,7.4,12.0
177038,43,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,2108,nakd banana bread raw fruit  oat & nut wholefood bars (4x30g),-1.0,nakd banana bread,NA,NA
177223,43,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,2293,quaker cinnamon pecan bread soft baked bars   7.4 oz (pack of 12),70.36,quaker cinnamon pecan,7.4,12.0
177412,43,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,2482,quaker soft baked cereal bar  banana nut bread  7.4-ounce packages (pack of 6),13.08,quaker soft baked,NA,6.0
178240,43,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,3310,quaker chewy dipps granola bars  caramel nut  6.52 oz,9.46,quaker chewy dipps,6.52,NA
182516,44,mariani sweet & salty honey bar  1.4 oz,-1.0,Mariani,1.4,NA,3421,bar  almond & apricot  1.4 oz ( value bulk multi-pack),50.12,bar  almond,1.4,NA
182687,44,mariani sweet & salty honey bar  1.4 oz,-1.0,Mariani,1.4,NA,3592,chatfield's bar mixed nut & frt honey 1.4 oz (pack of 12),21.6,chatfield's bar mixed,1.4,12.0
183135,44,mariani sweet & salty honey bar  1.4 oz,-1.0,Mariani,1.4,NA,4040,nature valley sweet & salty peanut granola bar  7.4 oz,-1.0,nature valley sweet,7.4,NA
184371,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,1111,kellogg's  nutri-grain apple cinnamon cereal bars  8 ct  10.4 oz,12.39,kellogg's  nutri-grain,10.4,NA
185099,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,1839,kellogg's nutri-grain bar  toffee crunch  5 - 1.48 oz pouches  net wt. 7.4 ounce,7.32,kellogg's nutri-grain bar,1.48,NA
185242,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,1982,nature valley crunchy apple crisp granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA
185552,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,2292,kellogg's nutri grain fruit crunch  apple cobbler  7.4 oz boxes (3 pack),21.05,kellogg's nutri grain,7.4,NA
185696,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,2436,nature valley crunchy pecan crunch granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA
186044,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,2784,nutri-grain fruit crunch  apple cobbler  2 bar pouches  1.48 oz  5-count,6.22,nutri-grain fruit crunch,1.48,NA
186108,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,2848,kellogg's nutri-grain fruit crunch  apple cobbler  7.4-oz boxes (pack of 6),31.4,kellogg's nutri-grain fruit,NA,6.0
186617,45,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,3357,betty lou's jumbo fruit bars  cinnamon apple  2 oz - 5 pack,144.44,betty lou's jumbo,2,NA
188268,46,quaker soft baked bars cinnamon pecan bread  7.4 oz,2.18,Quaker,7.4,NA,843,quaker soft baked bar  cinnamon pecan bread  7.4-ounce (pack of 6),13.08,quaker soft baked,NA,6.0
189474,46,quaker soft baked bars cinnamon pecan bread  7.4 oz,2.18,Quaker,7.4,NA,2049,quaker banana nut bread soft baked bars   7.4 oz (pack of 12),46.49,quaker banana nut,7.4,12.0
189718,46,quaker soft baked bars cinnamon pecan bread  7.4 oz,2.18,Quaker,7.4,NA,2293,quaker cinnamon pecan bread soft baked bars   7.4 oz (pack of 12),70.36,quaker cinnamon pecan,7.4,12.0
191849,47,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,259,nature valley dark chocolate cherry trail mix bars  6 ct,-1.0,nature valley dark,NA,NA
192087,47,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,497,kashi trail mix chewy granola bars  18 count,38.73,kashi trail mix,NA,NA
193417,47,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,1827,nature valley trail mix fruit & nut chewy granola bars  1.2 oz  6 count,-1.0,nature valley trail,1.2,NA
193435,47,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,1845,kashi  tlc chewy trail mix granola bars  6 ct  7.4 oz,8.99,kashi  tlc,7.4,NA
195865,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,110,18 rabbits cherry dark chocolate & almond 1.6 oz (pack of 12),27.5,18 rabbits cherry,1.6,12.0
195871,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,116,nature valley almond crunch granola bars 7.2 oz (pack of 12),74.57,nature valley almond,7.2,12.0
196027,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,272,nature granola bars roasted nut almond crunch 7.2 oz (pack of 24),119.44,nature granola bars,7.2,24.0
196160,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,405,annie's organic peanutty granola bars 6.9 oz (pack of 6),33.35,annie's organic peanutty,6.9,6.0
196544,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,789,quaker chewy granola bar  variety pack  8-count (pack of 6),14.64,quaker chewy granola,NA,6.0
196835,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,1080,nature granola bars crunchy roasted almond 8.9 oz (pack of 24),113.57,nature granola bars,8.9,24.0
196874,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,1119,udi's gluten free au naturel granola (pack of 6),39.99,udi's gluten free,NA,6.0
197040,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,1285,nutritious living hi-lo vanilla almond cereal  10-ounce units (pack of 6),37.24,nutritious living hi-lo,NA,6.0
197397,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,1642,bakery on main cinnamon raisin fiber granola 12 oz (pack of 6),47.3,bakery on main,12,6.0
197430,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,1675,pampa fruit & grain bars strawberry  6 oz (pack of 14),43.2,pampa fruit &,6,14.0
197671,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,1916,sunbelt oat & honey chewy granola bars  8 oz (pack of 3),11.0,sunbelt oat &,8,3.0
197764,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,2009,kashi honey almond flax chewy granola bars net wt 7.4 oz (pack of 6),41.88,kashi honey almond,7.4,6.0
198043,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,2288,quaker warm & crunchy granola cranberry almond 13.5 oz (pack of 6),51.53,quaker warm &,13.5,6.0
198519,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,2764,jimmybar how bout dem apples   1.6 oz (pack of 6),16.95,jimmybar how bout,1.6,6.0
198686,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,2931,udi's granola bar  cranberry almond  gluten-free 1.23 oz. 5-count (pack of 6),40.99,udi's granola bar,1.23,6.0
198727,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,2972,nature valley granola thins  10 bars (pack of 6),9.44,nature valley granola,NA,6.0
198792,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3037,jimmybar super hip chocolate chip  1.6 oz (pack of 6),16.95,jimmybar super hip,1.6,6.0
198800,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3045,ratio protein bars  granola  2.33 ounce (pack of 6),32.4,ratio protein bars,2.33,6.0
198846,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3091,annie's homegrown berry berry granola bar 6.9 oz (pack of 6),27.95,annie's homegrown berry,6.9,6.0
198858,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3103,jimmybar peanut butter clutter  1.6 oz (pack of 6),16.95,jimmybar peanut butter,1.6,6.0
198870,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3115,coconut secret coconut bar  almond  1.75-ounce (pack of 6),36.97,coconut secret coconut,NA,6.0
198876,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3121,granola bar og2 trail mi 6.2 oz (pack of 6),38.01,granola bar og2,6.2,6.0
198981,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3226,kind plus antioxidants  cranberry & almond snack bar (pack of 2),55.99,kind plus antioxidants,NA,2.0
199005,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3250,snacklemouth granola nut cluster  almond berry 5.5 oz. (pack of 15),63.93,snacklemouth granola nut,5.5,15.0
199093,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3338,atkins advantage peanut fudge granola bar 8.5 oz (pack of 6),74.99,atkins advantage peanut,8.5,6.0
199319,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3564,achva vanilla sesame havla  16-ounce containers (pack of 6),41.99,achva vanilla sesame,NA,6.0
199399,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3644,nature valley sweet & salty nut granola bars  almond  7.4 oz  (pack of 3),21.0,nature valley sweet,7.4,3.0
199610,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3855,boulder granola granola  cranberry  3 ounce (pack of 6),16.15,boulder granola granola,3,6.0
199705,48,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,3950,walden farms  drssng cf russian  12 oz (pack of 6),30.96,walden farms ,12,6.0
204158,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,73,betty lou's gluten free fruit bars apple cinnamon -- 2 oz,17.23,betty lou's gluten,2,NA
204532,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,447,great value chewy fiber bars  5-1.4 oz (40g),14.0,great value chewy,1.4,NA
204731,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,646,nakd apple pie raw fruit  oat & nut wholefood bars (4x30g),8.99,nakd apple pie,NA,NA
205196,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,1111,kellogg's  nutri-grain apple cinnamon cereal bars  8 ct  10.4 oz,12.39,kellogg's  nutri-grain,10.4,NA
205321,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,1236,gerber graduates apple cinnamon fruit & cereal bars  8-count bars (pack of 6),27.95,gerber graduates apple,NA,6.0
205760,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,1675,pampa fruit & grain bars strawberry  6 oz (pack of 14),43.2,pampa fruit &,6,14.0
205820,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,1735,wgmns cereal bars  fruit & grain  apple cinnamon  10.4 oz. (pack of 6),27.5,wgmns cereal bars,10.4,6.0
206334,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,2249,kind fruit & nut bars apple cinnamon and pecan 12 count,23.99,kind fruit &,NA,NA
207069,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,2984,great value chewy granola bars  18- 0.84 oz (24g),29.99,great value chewy,0.84,NA
207192,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3107,great value chewy granola bars  6-1.23 oz (35g) each,4.99,great value chewy,1.23,NA
207400,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3315,that's it apple & banana fruit bars 12/1.2 oz,24.16,that's it apple,1.2,NA
207442,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3357,betty lou's jumbo fruit bars  cinnamon apple  2 oz - 5 pack,144.44,betty lou's jumbo,2,NA
207578,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3493,sunbelt bakery's apple cinnamon fruit & grain bars 8-count (8 boxes),33.0,sunbelt bakery's apple,NA,NA
207788,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3703,great value mixed berry fruit & grain bars  10.4 oz,11.98,great value mixed,10.4,NA
207872,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3787,jordans frusli cereal bars apple  sultana & cinnamon (6x30g),7.99,jordans frusli cereal,NA,NA
208001,50,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,3916,bimbo  multi grain apple cinnamon cereal bar  9 oz,10.0,bimbo  multi,9,NA
210842,51,meta health bar cinnamon oatmeal raisin health bars  1.41 oz  6 count,7.47,Meta,1.41,NA,2592,general mills cinnamon toast crunch cereal bars  0.85 oz  6 count,29.88,general mills cinnamon,0.85,NA
211217,51,meta health bar cinnamon oatmeal raisin health bars  1.41 oz  6 count,7.47,Meta,1.41,NA,2967,meta 3-in-1 multihealth fiber health bar  cinnamon oatmeal raisin (10 ct),19.85,meta 3-in-1 multihealth,NA,NA
213207,52,kellogg's nutri-grain strawberry cereal bar  20.80 oz,4.78,Nutri-Grain,20.80,NA,792,kellogg's special k cereal bar  chocolate covered strawberry  4.86 ounce,5.45,kellogg's special k,4.86,NA
213635,52,kellogg's nutri-grain strawberry cereal bar  20.80 oz,4.78,Nutri-Grain,20.80,NA,1220,kellogg's special k cereal bar  strawberry  .81 oz  12/box,15.48,kellogg's special k,81,NA
213952,52,kellogg's nutri-grain strawberry cereal bar  20.80 oz,4.78,Nutri-Grain,20.80,NA,1537,nutri-grain cereal bars  strawberry  10.4 oz  (pack of 3),19.99,nutri-grain cereal bars,10.4,3.0
