@info
{
    "table":{
        "name":"labeled_325",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"el_325_orig",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart_X.id",
                "type":"TEXT"
            },
            {
                "name":"vendor_X.id",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart_X.id:TEXT,vendor_X.id:TEXT,label:INTEGER
65,3756896,3756896#Limited Goods,1
66,4025874,4025874#Limited Goods,1
67,7754443,7754443#Limited Goods,1
68,9189660,9189660#Limited Goods,1
69,9225261,9225261#Limited Goods,1
70,9871188,9871188#Limited Goods,1
71,12184525,12184525#eBags,1
72,12184565,12184565#eBags,1
73,872051,872051#ivgStores,1
74,2585639,2585639#ivgStores,1
75,3387612,3387612#ivgStores,1
76,3576485,3576485#ivgStores,1
77,12186203,12186203#eBags,1
78,12186211,12186211#eBags,1
79,12186335,12186335#eBags,1
80,4664464,4664464#ivgStores,1
81,5723587,5723587#ivgStores,1
82,12187451,12187451#eBags,1
83,12187705,12187705#eBags,1
84,12187816,12187816#eBags,1
85,12187871,12187871#eBags,1
86,12342530,12342530#eBags,1
87,12343007,12343007#eBags,1
88,12343021,12343021#eBags,1
89,9225253,9225253#ivgStores,1
90,2445355,2445355#ivgStores,1
91,2585638,2585638#ivgStores,1
92,2685981,2685981#ivgStores,1
93,17771102,17771102#Babyhaven,1
94,12360588,12360588#eBags,1
95,12361423,12361423#eBags,1
96,7964947,7964947#ivgStores,1
97,7964948,7964948#ivgStores,1
98,12444923,12444923#eBags,1
99,1233539,1233539#ivgStores,1
100,2160472,2160472#ivgStores,1
101,12509863,12509863#eBags,1
102,2470635,2470635#ivgStores,1
103,2470642,2470642#ivgStores,1
104,2585627,2585627#ivgStores,1
105,12528315,12528315#eBags,1
106,3321417,3321417#ivgStores,1
107,29829040,29829040#Perf-Moto,1
108,12548329,12548329#eBags,1
109,15010243,15010243#Babyhaven,1
110,13045149,13045149#eBags,1
111,13050315,13050315#eBags,1
112,8154370,8154370#ivgStores,1
113,13071910,13071910#eBags,1
114,13219542,13219542#eBags,1
115,13219580,13219580#eBags,1
116,13219589,13219589#eBags,1
117,13219595,13219595#eBags,1
118,9893700,9893700#ivgStores,1
119,13241061,13241061#eBags,1
120,1233548,1233548#ivgStores,1
121,13246663,13246663#eBags,1
122,13246664,13246664#eBags,1
123,13248342,13248342#eBags,1
124,13252811,13252811#eBags,1
125,13730097,13730097#eBags,1
126,13730100,13730100#eBags,1
127,13812840,13812840#eBags,1
128,5934005,5934005#ivgStores,1
129,13983018,13983018#eBags,1
130,8111422,8111422#ivgStores,1
131,8144079,8144079#ivgStores,1
132,14118875,14118875#eBags,1
133,8144086,8144086#ivgStores,1
134,14178205,14178205#eBags,1
135,14313307,14313307#eBags,1
136,14574778,14574778#eBags,1
137,14644597,14644597#eBags,1
138,932034,932034#ivgStores,1
139,2470128,2470128#ivgStores,1
140,14664902,14664902#eBags,1
141,3576486,3576486#ivgStores,1
142,3630474,3630474#ivgStores,1
143,14967560,14967560#eBags,1
144,14978725,14978725#eBags,1
145,15040735,15040735#eBags,1
146,15040761,15040761#eBags,1
147,15042368,15042368#eBags,1
148,15042380,15042380#eBags,1
149,15062939,15062939#eBags,1
150,5799655,5799655#ivgStores,1
151,15062963,15062963#eBags,1
152,15111419,15111419#eBags,1
153,15172512,15172512#eBags,1
154,8136492,8136492#ivgStores,1
155,15406802,15406802#eBags,1
156,15421546,15421546#eBags,1
157,15522312,15522312#eBags,1
158,15524252,15524252#eBags,1
159,15524257,15524257#eBags,1
160,15525124,15525124#eBags,1
161,9907221,9907221#ivgStores,1
162,15525125,15525125#eBags,1
163,9919109,9919109#ivgStores,1
164,20565753,16225385#eBags,0
165,20565735,16225385#eBags,0
166,22293444,16225387#eBags,0
167,16225385,16225387#eBags,0
168,16225401,16225402#eBags,0
169,16225399,16225402#eBags,0
170,16225398,16225402#eBags,0
171,23226944,16332622#eBags,0
172,16453808,16453823#eBags,0
173,16453811,16453823#eBags,0
174,16453810,16453823#eBags,0
175,12359359,16489720#eBags,0
176,16489723,16489720#eBags,0
177,16539485,16539484#eBags,0
178,21551929,16539484#eBags,0
179,16539485,16539487#eBags,0
180,16539484,16539487#eBags,0
181,21551929,16539487#eBags,0
182,16783599,16541378#eBags,0
183,15406795,16541378#eBags,0
184,20468957,16561013#eBags,0
185,15716948,16561718#eBags,0
186,26464252,16561718#eBags,0
187,16561940,16561786#eBags,0
188,16561712,16561786#eBags,0
189,12509680,16561886#eBags,0
190,16561887,16561886#eBags,0
191,12509689,16561886#eBags,0
192,16561684,16561921#eBags,0
193,16561683,16561921#eBags,0
194,16561688,16561930#eBags,0
195,25205883,16561930#eBags,0
196,16565535,16565536#eBags,0
197,17654764,16565536#eBags,0
198,15106130,16621120#eBags,0
199,16539457,16621120#eBags,0
200,30055124,29889954#Perf-Moto,0
201,30238743,29889954#Perf-Moto,0
202,29991101,29889954#Perf-Moto,0
203,12185577,16660110#eBags,0
204,12184468,16660110#eBags,0
205,16660784,16660759#eBags,0
206,16660770,16660759#eBags,0
207,16660784,16660772#eBags,0
208,16660770,16660772#eBags,0
209,16660861,16660778#eBags,0
210,15722382,16660778#eBags,0
211,16792060,16792047#eBags,0
212,16946434,16792047#eBags,0
213,20552042,16792047#eBags,0
214,27512327,16794808#eBags,0
215,21128592,16794808#eBags,0
216,15525118,16794808#eBags,0
217,21128539,16794823#eBags,0
218,12186016,16794823#eBags,0
219,39639520,39639515#Babyhaven,0
220,42889004,39639515#Babyhaven,0
221,16873979,16873978#eBags,0
222,16873738,16873978#eBags,0
223,24542106,16874952#eBags,0
224,24542107,16874952#eBags,0
225,12187138,16874952#eBags,0
226,16874965,16874966#eBags,0
227,16927127,16927121#eBags,0
228,16927131,16927121#eBags,0
229,16927127,16927122#eBags,0
230,16927128,16927122#eBags,0
231,16927128,16927126#eBags,0
232,16927125,16927126#eBags,0
233,16927129,16927131#eBags,0
234,16927130,16927131#eBags,0
235,29372731,16933452#eBags,0
236,29372730,16933452#eBags,0
237,20897845,16944283#eBags,0
238,16778253,17032482#eBags,0
239,29732878,17129605#eBags,0
240,29732874,17129605#eBags,0
241,17129626,17129683#eBags,0
242,17129598,17129683#eBags,0
243,17129658,17129683#eBags,0
244,17510991,17133293#eBags,0
245,17510956,17133293#eBags,0
246,17134131,17134132#eBags,0
247,16873740,17134132#eBags,0
248,17134162,17134137#eBags,0
249,17134135,17134137#eBags,0
250,17134161,17134137#eBags,0
251,17134145,17134144#eBags,0
252,17211252,17134144#eBags,0
253,17211176,17134166#eBags,0
254,17212352,17134166#eBags,0
255,17212351,17134166#eBags,0
256,17211225,17211249#eBags,0
257,17211248,17211249#eBags,0
258,17134162,17211249#eBags,0
259,17277021,17277012#eBags,0
260,17277014,17277012#eBags,0
261,39505613,39505611#Babyhaven,0
262,24633722,39505611#Babyhaven,0
263,17787030,17323887#eBags,0
264,34240989,17323887#eBags,0
265,16480768,17323887#eBags,0
266,17395950,17395941#eBags,0
267,21889921,17395941#eBags,0
268,17395923,17395975#eBags,0
269,17395981,17395975#eBags,0
270,31420666,14915802#ivgStores,0
271,41099843,14915802#ivgStores,0
272,40177097,14915802#ivgStores,0
273,17449845,17449846#eBags,0
274,15063000,17449846#eBags,0
275,33946313,14916415#ivgStores,0
276,32545299,14916415#ivgStores,0
277,23134150,14916415#ivgStores,0
278,34954174,14922530#ivgStores,0
279,14915870,14922530#ivgStores,0
280,17654764,17654766#eBags,0
281,17654765,17654766#eBags,0
282,17211176,17756892#eBags,0
283,17756903,17756892#eBags,0
284,17756902,17756892#eBags,0
285,29569421,17756998#eBags,0
286,33836735,14927489#ivgStores,0
287,32511770,14927489#ivgStores,0
288,17811941,17811940#eBags,0
289,32111839,14927489#ivgStores,0
290,15570486,17811940#eBags,0
291,33836735,14927495#ivgStores,0
292,32511770,14927495#ivgStores,0
293,12183408,17811959#eBags,0
294,12183403,17811959#eBags,0
295,16914020,17811959#eBags,0
296,23140292,14928628#ivgStores,0
297,23140549,14928628#ivgStores,0
298,13044365,14931223#ivgStores,0
299,13044363,14931223#ivgStores,0
300,14935224,14931223#ivgStores,0
301,40182247,15048429#ivgStores,0
302,31156176,15066078#ivgStores,0
303,31424213,15066078#ivgStores,0
304,19316104,19316103#eBags,0
305,19316077,19316103#eBags,0
306,11980358,15135097#ivgStores,0
307,8154370,15135097#ivgStores,0
308,21296718,19426181#eBags,0
309,15846619,19426181#eBags,0
310,40212020,19426181#eBags,0
311,20849252,15200080#ivgStores,0
312,20847587,15200080#ivgStores,0
313,20847566,15200080#ivgStores,0
314,19480534,19480533#eBags,0
315,29969257,29968971#Perf-Moto,0
316,19480532,19480533#eBags,0
317,19480536,19480535#eBags,0
318,19480538,19480535#eBags,0
319,19480535,19480536#eBags,0
320,19480538,19480536#eBags,0
321,20970720,19486615#eBags,0
322,19486712,19486715#eBags,0
323,19486714,19486715#eBags,0
324,19486997,19486743#eBags,0
325,22214525,19486743#eBags,0
