@info
{
    "table":{
        "name":"isbn_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"books",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"bowker.id",
                "type":"TEXT"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"bowker.title",
                "type":"TEXT"
            },
            {
                "name":"bowker.author",
                "type":"TEXT"
            },
            {
                "name":"bowker.pubYear",
                "type":"TEXT"
            },
            {
                "name":"walmart.title",
                "type":"TEXT"
            },
            {
                "name":"walmart.author",
                "type":"TEXT"
            },
            {
                "name":"walmart.pubYear",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,bowker.id:TEXT,walmart.id:TEXT,bowker.title:TEXT,bowker.author:TEXT,bowker.pubYear:TEXT,walmart.title:TEXT,walmart.author:TEXT,walmart.pubYear:TEXT
12,9780072860948,4025755,Taking off Beginning English Literacy Workbook,"Hancock Fesler, Susan Newman, Christy",2004,Taking Off Beginning English Literacy Workbook,,2002
13,9780080446837,4564015,Vintage Papers from the Lancet,,2006,Vintage Papers from the Lancet,"Richardson, Ruth",2005
14,9780030513374,5050626,Practical Math : Skills and Concepts,Fredrick,1998,Practical Mathematics: Skills and Concepts,"Fredrick, Marguerite M.",1998
15,9780135285718,522144,Learning American Sign Language,"Humphries, Tom L. Padden, Carol A.",1992,Learning American Sign Language,"Humphries, Tom",1992
16,9780114958367,5514791,Conserving Bogs : The Management Handbook,TSO Staff,1997,Conserving Bogs: The Management Handbook,"Stoneman, Rob ",1996
17,9780073380339,5681971,Fundamentals of Digital Logic with Verilog Design,"Vranesic, Zvonko Brown, Stephen",2007,Fundamentals of Digital Logic with Verilog Design [With CDROM],"Brown, Stephen",2007
18,9780061374050,6000607,Not Quite What I Was Planning : Six-Word Memoirs by Writers Famous and Obscure,"Smith, Larry Fershleiser, Rachel",2008,Not Quite What I Was Planning: Six-Word Memoirs by Writers Famous and Obscure,"Fershleiser, Rachel",2008
19,9780077217181,7807428,Art of Public Speaking,"Lucas, Stephen",2007,The Art of Public Speaking [With Booklet],"Lucas, Stephen E.",2007
20,9780152062279,7809485,Love among the Walnuts,"Ferris, Jean",2008,Love Among the Walnuts,"Ferris, Jean",2008
21,9780071451574,4082544,Business Calculus Demystified,"Huettenmueller, Rhonda",2005,Business Calculus Demystified,"Huettenmueller, Rhonda",2005
22,9780205327270,4763339,Transition Assessment : Planning Transition and IEP Development for Youth with Mild to Moderate Disabilities,"Corbey, Stephanie A. Lombard, Richard C. Miller, Robert J.",2006,Transition Assessment: Planning Transition and IEP Development for Youth with Mild to Moderate Disabilities,"Miller, Robert J.",2006
23,9780028348261,5087512,Geometry : Concepts and Applications,McGraw-Hill Staff,2000,"Geometry: Concepts and Applications, Study Guide Workbook",McGraw-Hill,2000
24,9780140447040,515921,Sixteen Satires,Juvenal,1999,Sixteen Satires: Revised Edition,"Juvenal, Decimus Junius Juvenalis",1999
25,9780061490057,17800413,Ascendant,"Peterfreund, Diana",2012,Ascendant,"Peterfreund, Diana",2012
26,9780217516556,19747771,Bog of Stars; and Other Stories and Sketches of Elizabethan Ireland,"O'Grady, Standish",2009,The Bog of Stars; And Other Stories and Sketches of Elizabethan Ireland,"O'Grady, Standish",2012
27,9780077864262,22922094,Gen cmb alt ed econ; Cnct+ac,"Flynn, Sean Brue, Stanley McConnell, Campbell",,Economics Alternate Edition + Connect Plus,"McConnell, Campbell",2011
28,9780226492360,2351244,Foundations of Biogeography : Classic Papers with Commentaries,,2004,Foundations of Biogeography: Classic Papers with Commentaries,"Lomolino, Mark V.",2004
29,9780198280354,2524032,"Elitism, Populism, and European Politics",,1996,"Elitism, Populism, and European Politics","Hayward, Jack",1996
30,9780060837563,3618742,Native Son,"Wright, Richard",2005,Native Son,"Wright, Richard",2005
31,9780007183456,10082209,Antarctica : Exploring a Fragile Eden,"Scott, Angela Scott, Jonathan",2008,Antarctica: Exploring a Fragile Eden,"Scott, Jonathan",2008
32,9780153234514,10865895,Seventh Grade Penny Drive On Level,Harcourt School Publishers Staff,2002,Harcourt School Publishers Trophies: On-LVL: Seventh Gr Penny Drve G6 Seventh Gr Penny Drve,HSP,2002
33,9780198201892,1300652,Richard II : The Art of Kingship,,1999,Richard II: The Art of Kingship,"Goodman, Anthony",1999
34,9780195398113,13907045,Terrorism: Commentary on Security DocumentsVolume 106: Terrorist Financing and Money Laundering,"Huq, Aziz Lovelace, Douglas C. Boon, Kristen E.",1979,Terrorism: Commentary on Security; Terrorist Financing and Money Laundering,,2010
35,9780029066850,1490720,"Measures for Clinical Practice Vol. 1 : Couples, Families, and Children","Fischer, Joel",1994,"Measures for Clinical Practice: A Sourcebook : Couples, Families, and Children","Fischer, Joel",1994
36,9780217105972,15311731,Road Toward Peace,"Eliot, Charles William",2009,The Road Toward Peace; A Contribution to the Study of the Causes of the European War and of the Means of Preventing War in the Future,"Eliot, Charles William",2010
37,9780217521376,15348586,On the Broads,"Dodd, Anna Bowman",2009,On the Broads,"Dodd, Anna Bowman",2010
38,9780217110952,15368811,True Story of Hamlet and Opheli,"Gilchrist, Fredericka Raymond Beardsley",2009,The True Story of Hamlet and Ophelia,"Gilchrist, Fredericka Raymond Beardsley",2012
39,9780160879098,16284366,"Congressional Record, V. 153, Pt. 20, October 17, 2007 to October 30 2007",,2011,"Congressional Record (Bound Volumes): Volume 153, Part 20",U S Congress,2011
40,9780199556717,10240412,Evolution and the Levels of Selection,"Okasha, Samir",2009,Evolution and the Levels of Selection,"Okasha, Samir",2009
41,9780217263016,14022273,New Guide of Rome and the Enirons According to Vasi and Nibby,"Piale, Luigi",2009,"New Guide of Rome and the Enirons According to Vasi and Nibby; Containing a Description of the Monuments, Galleries, Churches [Etc.] Carefully Revised","Piale, Luigi",2012
42,9780217519724,14022804,"Novels and Novelists, from Elizabeth to Victoria","Jeaffreson, John Cordy",2009,Novels and Novelists; From Elizabeth to Victoria,"Jeaffreson, John Cordy",2010
43,9780217021159,14026160,Memoirs and Campaigns of Charles John Prince Royal of Sweden,"Philippart, John",2009,Memoirs and Campaigns of Charles John Prince Royal of Sweden; Embellished with a Beautifully Engraved Portrait,"Philippart, John",2010
44,9780217618472,14028323,Wrack of the Storm,"Maeterlinck, Maurice",2009,"The Wrack of the Storm Volume 1916, PT. 1","Maeterlinck, Maurice",2010
45,9780217761901,15282052,Growth of Christianity,"Gardner, Percy",2009,The Growth of Christianity; London Lectures,"Gardner, Percy",2010
46,9780217880725,15283778,Outlines of Logic and Metaphysics,"Erdmann, Johann Eduard",2009,Outlines of Logic and Metaphysics,"Erdmann, Johann Eduard",2010
47,9780217033985,15305465,Practical Chemistry,"Tilden, William A.",2009,Practical Chemistry; The Principles of Qualitative Analysis,"Tilden, William Augustus",2010
48,9780217970747,15307220,Peggy Ware,"Howard, Milford Wriarson",2009,Peggy Ware,"Howard, Milford Wriarson",2010
49,9780217020985,15328882,Memoirs of the Reign of King George The,"Walpole, Horace",2009,Memoirs of the Reign of King George the Third (Volume 3),"Walpole, Horace",2012
50,9780217759441,15345679,Tripled Crown,,2009,"The Tripled Crown; A Book of English, Scotch and Irish Verse","Author, Unknown",2010
51,9780061965548,15772172,How Shakespeare Changed Everything,"Marche, Stephen",2012,How Shakespeare Changed Everything,"Marche, Stephen",2012
52,9780201738278,1581211,Broadband Internet Connections : A User's Guide to DSL and Cable,"Smith, Roderick W.",2001,Broadband Internet Connections: A User's Guide to DSL and Cable,"Smith, Roderick W.",2001
53,9780077905972,15912308,Combo: Loose Leaf Version of Anatomy & Physiology: the Unity of Form and Function with Connect Plus/LearnSmart 2 Semester Access Card,"Saladin, Kenneth",,Combo: Loose Leaf Version of Anatomy & Physiology: The Unity of Form and Function with Connect Plus 2 Semester Access Card (Includes Apr & Phils Onlin,"Saladin, Kenneth",2010
54,9780142412145,10083762,Let It Snow : Three Holiday Romances,"Myracle, Lauren Green, John Johnson, Maureen",2008,Let It Snow: Three Holiday Romances,"Green, John",2008
55,9780195386370,10722263,Stockholm : A Cultural History,"Griffiths, Tony",2009,Stockholm: A Cultural History,"Griffiths, Tony",2009
56,9780131077744,10948704,Coll Acctg 1-26 and Sg and Wp and Pchtr and Pch8 0 and Tut and E,"Slater, Jeffrey",2003,Coll Acctg 1-26& Sg& Wp& Pchtr& Pch8.0& Tut& Ebiz,,2003
57,9780205753413,13433980,"Janson's Basic History of Western Art, Books a la Carte Plus MyArtKit","Jacobs, Joseph F. Roberts, Ann M. Davies Davies, Penelope J. E. Hofrichter, Frima Fox",2009,Janson's Basic History of Western Art [With Access Code],"Davies, Penelope J. E.",2009
58,9780217341356,14022189,"History of the County of Pictou, Nova Scoti","Patterson, George",2009,"A History of the County of Pictou, Nova Scotia","Patterson, George",2012
59,9780217048255,15289952,Shores of the Mediterranean,"Schroeder, Francis",2009,Shores of the Mediterranean,"Schroeder, Francis",2009
60,9780217255035,15291838,Laurie's Graduated Series of Reading Lesson Books,"Laurie, James Stuart",2009,Laurie's Graduated Series of Reading Lesson Books,"Laurie, James Stuart",2010
61,9780217106894,15326268,Spirit of the New Education,"Hopkins, Louisa Parsons Stone",2009,The Spirit of the New Education,"Hopkins, Louisa Parsons Stone",2010
62,9780217227834,15341050,Jacob VanDerlint on Money Answers All Things 1734,"VanDerlint, Jacob",2009,Jacob Vanderlint on Money Answers All Things. 1734,"Vanderlint, Jacob",2012
63,9780217872232,15350595,Skin Diseases of Parasitic Origin,"Fox, Tilbury",2009,"Skin Diseases of Parasitic Origin; Their Nature and Treatment, Including the Description and Relations of the Fungi Found in Man","Fox, Tilbury",2010
64,9780217249775,15358361,Proceedings of 1st- Annual Convention,"Association, Idaho Bankers",2009,Proceedings of 1st- Annual Convention,"Association, Idaho Bankers",2010
65,9780217298445,15359574,War Guilt and Peace Crime of the Entente Allies,"Bruce, Stewart E.",2009,The War Guilt and Peace Crime of the Entente Allies,"Bruce, Stewart E.",2010
66,9780217300049,15373263,"Theory and Practice of Cricket, from Its Origin to the Present Time","Box, Charles",2009,"The Theory and Practice of Cricket, from Its Origin to the Present Time","Box, Charles",2012
67,9780195380002,15657084,Global Occupational Health,,2011,Global Occupational Health,"Guidotti, Tee L.",2011
68,9780230232372,16938827,Kazuo Ishiguro : New Critical Visions of the Novels,,2011,Kazuo Ishiguro: New Critical Visions of the Novels,"Groes, Sebastian",2011
