@info
{
    "table":{
        "name":"dfsd",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"tableA.id",
                "type":"INTEGER"
            },
            {
                "name":"tableB.id",
                "type":"INTEGER"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairId:INTEGER,tableA.id:INTEGER,tableB.id:INTEGER,label:INTEGER
199005,48,3250,0
199093,48,3338,0
199319,48,3564,0
199399,48,3644,0
199610,48,3855,0
199705,48,3950,0
204158,50,73,0
204532,50,447,0
204731,50,646,0
205196,50,1111,0
205321,50,1236,0
205760,50,1675,0
205820,50,1735,0
206334,50,2249,0
207069,50,2984,0
207192,50,3107,0
207400,50,3315,0
207442,50,3357,0
207578,50,3493,0
207788,50,3703,0
207872,50,3787,0
208001,50,3916,0
210842,51,2592,0
211217,51,2967,0
213207,52,792,0
213635,52,1220,0
213952,52,1537,0
214463,52,2048,0
214948,52,2533,0
215133,52,2718,0
215240,52,2825,0
215400,52,2985,0
218035,53,1455,0
219314,53,2734,0
225357,55,447,0
226585,55,1675,0
227460,55,2550,0
227894,55,2984,0
228017,55,3107,0
228472,55,3562,0
228533,55,3623,0
228613,55,3703,0
229596,56,521,0
230943,56,1868,0
233880,57,640,0
240652,58,3247,0
241415,58,4010,0
247063,60,1328,0
255953,62,1888,0
258802,63,572,0
258929,63,699,1
261617,63,3387,0
264267,64,1872,0
267159,65,599,0
269922,65,3362,1
271874,66,1149,0
274428,66,3703,0
280774,68,1719,0
282054,68,2999,0
282888,68,3833,1
284927,69,1707,0
285178,69,1958,1
286512,69,3292,0
301631,73,1751,0
301958,73,2078,0
315200,76,2825,0
317178,77,638,0
321189,78,484,0
325645,79,775,0
327462,79,2592,0
344129,83,2599,0
344410,83,2880,0
344445,83,2915,0
347748,84,2053,0
356930,86,2905,0
357053,86,3028,0
390250,94,2905,0
390373,94,3028,1
749864,181,164,1
1213134,292,1119,1
1555251,374,1706,1
1992990,479,2120,1
3246177,780,1642,1
5367847,1289,3327,1
5871812,1410,3327,1
12395835,2977,795,1
12638252,3035,1642,0
12688232,3047,1642,0
13033404,3130,1119,1
13035366,3130,3081,0
13054395,3135,1285,1
13067247,3138,1642,1
13127808,3152,3893,1
13187509,3167,1119,1
13196362,3169,1642,1
13302374,3194,3529,1
13463990,3233,2710,0
13537892,3251,1642,1
13647250,3277,2710,1
13721152,3295,1642,1
14026666,3368,3111,1
14545299,3493,1119,1
14649947,3518,1642,0
15241229,3660,1494,0
15255507,3663,3277,0
15256987,3664,592,0
15257554,3664,1159,0
15259073,3664,2678,0
15260288,3664,3893,0
15262387,3665,1827,0
14650172,3518,1867,0
14652255,3518,3950,0
14668160,3522,3195,0
14675169,3524,1874,0
14676963,3524,3668,0
14680571,3525,3111,0
14681689,3526,64,0
14681739,3526,114,0
14681812,3526,187,0
14681892,3526,267,0
14682030,3526,405,0
14682063,3526,438,0
14682081,3526,456,0
14682217,3526,592,0
14682473,3526,848,0
14682766,3526,1141,0
14682784,3526,1159,0
14682910,3526,1285,0
14682990,3526,1365,0
14683040,3526,1415,0
14683162,3526,1537,0
14683839,3526,2214,0
14683913,3526,2288,0
14683974,3526,2349,0
14684038,3526,2413,0
14684122,3526,2497,0
14684184,3526,2559,0
14684303,3526,2678,0
14684389,3526,2764,0
14684662,3526,3037,0
14684728,3526,3103,0
14685002,3526,3377,0
14685055,3526,3430,0
14685518,3526,3893,0
14685575,3526,3950,0
14685675,3526,4050,0
14685767,3526,4142,0
14686348,3527,558,0
14697461,3529,3341,0
14731223,3537,3783,0
14736181,3539,411,0
14738241,3539,2471,0
14750471,3542,2206,0
14754304,3543,1874,0
14773363,3548,108,0
14773486,3548,231,0
14773674,3548,419,0
14773752,3548,497,0
14773908,3548,653,0
14773958,3548,703,0
14773970,3548,715,0
14774133,3548,878,0
14774697,3548,1442,0
14774908,3548,1653,0
14774975,3548,1720,0
14775242,3548,1987,0
14775345,3548,2090,0
14775383,3548,2128,0
14775468,3548,2213,0
14775592,3548,2337,0
14775827,3548,2572,0
14775923,3548,2668,0
14776009,3548,2754,0
14776048,3548,2793,0
14776239,3548,2984,0
14776279,3548,3024,0
14776362,3548,3107,0
14776412,3548,3157,0
14776565,3548,3310,0
14776572,3548,3317,0
14776602,3548,3347,0
14776691,3548,3436,0
14776741,3548,3486,0
14776864,3548,3609,0
14776867,3548,3612,0
14776945,3548,3690,0
14776946,3548,3691,0
14776969,3548,3714,0
14777106,3548,3851,0
14777291,3548,4036,0
14777336,3548,4081,0
14777366,3548,4111,0
14777380,3548,4125,0
14779294,3549,1874,0
14781088,3549,3668,0
14790824,3552,909,0
14791409,3552,1494,0
14813718,3557,2978,0
14821834,3559,2764,0
14822107,3559,3037,0
14822173,3559,3103,0
14823020,3559,3950,0
14824683,3560,1448,0
14826891,3560,3656,0
14832474,3562,909,0
14833059,3562,1494,0
14844085,3565,25,0
14852428,3567,38,0
14852795,3567,405,0
14853161,3567,771,0
14853179,3567,789,0
14853187,3567,797,0
14853805,3567,1415,0
14854032,3567,1642,0
14854574,3567,2184,0
14854678,3567,2288,0
14855154,3567,2764,0
14855233,3567,2843,0
14855362,3567,2972,0
14855427,3567,3037,0
14855435,3567,3045,0
14855481,3567,3091,0
14855493,3567,3103,0
14855511,3567,3121,0
