@info
{
    "table":{
        "name":"amazon",
        "description":"",
        "idAttrib":{
            "name":"title",
            "type":"TEXT"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"title",
                "type":"TEXT"
            },
            {
                "name":"price",
                "type":"FLOAT"
            },
            {
                "name":"unitPrice",
                "type":"TEXT"
            },
            {
                "name":"size",
                "type":"TEXT"
            },
            {
                "name":"description",
                "type":"TEXT"
            }
        ]
    }
}

@data
title:TEXT,price:FLOAT,unitPrice:TEXT,size:TEXT,description:TEXT
KIND PLUS Peanut Butter Dark Chocolate + Protein Bars-12 pk,19.99,($1.65 /  Item),NaN,"KIND PLUS, Peanut Butter Dark Chocolate + Protein, Gluten Free Bars (Pack of 12)

Plus Bars are all natural whole nut and fruit bars PLUS a nutritional boost.

    Peanut Butter Dark Chocolate Plus Protein is a healthy and satisfying blend of peanuts and antioxidant-rich dark chocolate
    Each bar contains 7 grams of protein, which promotes satiety and strengthens bones, muscles and skin

Item Specifications
Unit of Sale	Box of 12 Bars
Flavor	Peanut Butter Dark Chocolate PLUS Protein
Type	Bar
Use	Snack


•pack of 12

•Wheat-free, gluten-free,

•Low glycemic index. Good source of fiber

•No hydrogenated oils or trans fats

•Individually Wrapped, Transparent Packaging  "
"Eat Natural Dark Chocolate, Brazils & Apricots Bars (4x33g)",7.19,NaN,NaN,"Gluten free. No artificial flavours, colours or preservatives. Ok for veggies. Suitable for coeliacs. Darker Chocolate We've discovered the perfect accompaniment to our sweet apricots, cranberries and sultanas, in this intense and fragrant 70% cocoa solids 'darker' chocolate. Its bittersweet flavour is so floral and fruity, you'd think it was picked from the same trees. Brazils Brazil nuts only ever grow wild in the forest - they just can't be cultivated like other nuts. As far as we're concerned, that makes them pretty special. When it comes to their taste, that's pretty special too. We like to use huge pieces, gently roasted for extra crunch. Apricots At Eat Natural, we prefer dried apricots to taste of.. apricots! So, unlike the bright orange ones you may be more familiar with, ours don't contain any preservatives. They're dried naturally in the sun, giving them their rich, dark colour and authentic caramel sweetness. All Eat Natural bars are made with love and care from simple ingredients, in small batches at our own Makery. We never use artificial flavours, colours or preservatives. Here at Eat Natural, when we say 'natural', what exactly do we mean? Well, clearly it would be wrong of us to claim that everything in this bar is '100% natural' and simply 'grows on trees'. Obviously, some ingredients need to be cleaned, dried and roasted too, and therefore, to some extent, 'processed'. It's just that we believe, the less we mess with it.. the better it tastes. That's why we never add any artificial flavours or colours, or any preservatives. Find us on Facebook Twitter@EatNaturalBars  "
Squarebar Organic Protein Bar Cocoa Almond -- 1.7 oz,2.69,NaN,NaN,"We believe Ingredients Matter Most! Translation: ingredients are a better indicator of nutritional & environmental health than nutritional facts. Don't get us wrong, we love balanced nutrition facts as much as the next snacker... we just believe in knowing where those facts come from , because they're not all created equal. Best to start with nutrientt-dense, sustainable, and let's not forget yummy, whole food ingredients!- Sarah + Andrew (Co-Founders).  "
Harvest Cheweee Milk Choc Chip Cereal Bars 9 X 22G,13.45,NaN,NaN,"Wholegrain cereal goodness Source of fibre No artificial colours Great for your lunch box Suitable for vegetarians Milk chocolate chip chewy cereal bars Deliciously chewy cereal bars containing wheat and oats so they're packed with wholegrain goodness. Now you can give your kids a great tasting snack everyday...pack one in their lunchbox today 2 other great flavours Toffee Chip White Choc Chip Try them all Did you know? Octopuses can change to any colour. Allergy Information Allergy Other Text: May contain traces of nuts Contains: Gluten, Wheat, Milk, Soya\Soybeans May Contain: Nuts Other Information Additives: Free From Artificial Colours  "
Kellogg's Variety Pack Assorted Cereals - 12 Pack,92.76,($0.44 /  oz),NaN,"Kellogg's Variety Pack Assorted Cereals - 12 Pack  "
Fiber One Chocolate Caramel & Pretzel Bars (Case of 12),109.99,NaN,NaN,"Hungry? No. Results? Yes. It's simple--diets rich in fiber help you feel full. With five grams of fiber and flavors you crave, Fiber One 90 Calorie Chewy Chocolate Caramel & Pretzel Bars can make sticking to your diet easier and tastier. Fiber is a ""Onederful"" thing. It can help satisfy your appetite and manage your weight. It can help keep your digestive system on track. Nine out of 10 Americans aren't getting the recommended amount of fiber. Visit www.fiberone.com to see all of Fiber One's delicious flavors. Gradually increase fiber over time to help minimize potential gastrointestinal discomfort.  "
"Oskri Almond and Cranberry Bar, 1.9-Ounce (Pack of 20)",26.26,($0.69 /  oz),NaN,"Oskri Organics is committed to offering the best products that are grown and prepared in a natural way, without the use of chemical fertilizers, insecticides, and herbicides. Our products are produced using renewable wind energy. By buying this product, you are supporting small farms, and helping protect our fragile eco-system. Our products are truly global.  They are sold in 28 countries world-wide. You may see English, Spanish, German, Dutch, Italian, Arabic, and French languages on our product packaging. They are made Made in the USA.  "
Sweetleaf Stevia Sweetener,12.1,NaN,NaN,"Sweetleaf Stevia Sweetener 70 Packet  "
Rise Bar Breakfast Bar Crunchy Honey Walnut,23.88,NaN,NaN,"100% all natural and gluten free. Features: Ingredients: Almonds, Honey, Cashews, Dates, Amaranth, Crisp Rice, Salt  "
"Belvita Granola Oat Snack Bar, 1.76 Ounce -- 64 per case.",57.25,NaN,NaN,"19 grams of delicious whole grain, 3 grams of fiber, and B vitamins to help you stay powered up all morning long. 1.76 Ounce  "
"Atkins Advantage Snack Bars, Caramel Fudge Brownie 5 ea (Pack Of One)",28.9,NaN,NaN,"The Net Carb Count helps you count carbs that impact blood sugar.  Fiber, sugar alcohols, including glycerin, should be subtracted from the total carbs since they minimally impact blood sugar.  "
Laughing Giraffe: Organic Goji Cacao Maca Snakaroon 9.25 Oz (6 Pack),54.99,($11.00 /  Item),NaN,"Our nutrient rich and power packed Snakaroons will satisfy your sweet cravings without sacrificing your wellness. Delivering a healthy dose of proteins and the good fats your body needs, these tasty treats hit your organic sweet spot every time.  As a word play on macaroons, Snakaroons can be enjoyed as a wholesome organic snack, tea or coffee complement, or dessert cookie. This adult target Snakaroon contains some of the strong super plants. Goji berries are well known antioxidants.  Raw, organic cacao beans, which are used to produce organic cocoa and chocolate products, contain a wide array of unique properties and minerals, including high levels of sulfur and magnesium. It may increase your focus and alertness and contains nutrients to keep you happy. Maca root, native to the high Andes, has been shown to have favorable effects on energy and mood, may decrease anxiety and improve sexual desire.  "
"Oskri Granola Bars, Cashews, Peach and Apricots, 1.9-Ounce (Pack of 20)",27.04,($0.71 /  oz),NaN,"This item is made with no refined sugars, having a delicious and unique taste.  "
"Apple Cinnamon Cheerios Cereal Bar, 1.42 Ounce -- 96 per case.",41.65,($4.34 / 10 Items),NaN,"The taste of baked apples and cinnamon made with whold grain makes this cereal a delicious choice. View Nutrition Fact  "
"KIND Healthy Grains Granola Bars Oats & Honey With Toasted Coconut, 5/1.2 OZ (Pack of 8)",34.99,($4.29 /  Item),NaN,"Oats & Honey With Toasted Coconut (Pack Of 12)  "
Tanka Stick Buffalo Meat Apple Orange Peel -- 1 oz,1.89,NaN,NaN,"Native American Natural FoodsWe are Oglala Lakotas with a deep commitment to helping the People, the Buffalo and Mother Earth. We look forward to providing you with the very best foods that are sustainably grown by Native American producers, minimally processed with care and respect, to help you feed mind, body and spirit. ""Living Tanka"" means to live your best life: in harmony with your spirit and with the earth. We created Tanka products to help you just that Pilamaya (thank you).  "
"Larabar Peanut Butter Chocolate Chip Bars, 8 Count in Box",22.51,NaN,NaN,"Larabar Peanut Butter Chocolate Chip Bars, 8 Count in Box  "
"Golden Smackers, Chocolate -, 1.25 oz",22.51,NaN,NaN,"I'm nuts about making products that help you feel your best, which is why I use only the healthiest, all-natural ingredients in each of my hand-rolled energy balls. Betty Lou  "
Clif Chocolate Almond Fudge Clif Bar ( 12x2.4 OZ),29.27,NaN,NaN,"Rich fudge tastes good. All-natural ingredients are good for you. Double-good!  "
H.E.B GRANOLA Granola with Raisins 14 oz (Pack of 2),17.54,($7.50 /  Item),6.5 x 1.8 x 9.8 inches ; 14.1 ounces,"A balanced diet is key for living a wholesome happy life. Indulge your taste buds and treat yourself to H.E.B  granola doubles.  "
"Fiber One, NEW FLAVORS! VARIETY PACK! 2 BOXES OF BLUEBERRY STREUSEL & 2 BOXES OF STRAWBERRY STREUSEL, 5 Bars Per Box (4 Pack)",18.94,NaN,NaN,"A delicious streusel bar made with a brown sugar and oats topping over a real fruit filling.
20% daily value of fiber,
150 calories per bar,
12 grams whole grain.  "
KIND Plus Dark Chocolate Cherry Cashew + Antioxidants Bars - 12 Pack (24-pack),28.99,($1.38 /  Bars),NaN,"A delicious way to get 50% DV of Vitamins A, C, and E, 3g fiber and only 190 calories. Kind is more than just a brand of award-winning whole nut and fruit bars made from ingredients you can see and pronounce.  "
Clif Bar Kit'S Organic (/Box) Apricot Sesame Seed (Pack of 12),30.14,($2.57 /  Item),NaN,"Clif Bar Kit'S Organic (/Box) Apricot Sesame Seed (Pack of 12)  "
Peanut Lion Bar - 40 x Bar,80.46,"($7,596.00 / 100 g)",NaN,"Peanut Lion Bar - 40 x Bar  "
FUN Bar for Girls- 12 Pack,29.95,($29.95 /  Pack),3.5 x 1.2 x 0.5 inches ; 1.4 ounces,"Creamy roasted almond butter with 
smooth dark chocolate filled with 
superfood seeds and fruits and topped 
with raspberries. FUN for girls is a responsible snack bar full of antioxidants, and supports a healthy heart and boosts mental focus.  "
Pure Bar Organic Apple Cinnamon Raw Bar ( 12x1.7 OZ),26.68,($1.33 /  oz),NaN,"Pure Bar 12X 1.7 Oz Organic Apple Cinnamon Raw Bar  Our Apple Cinnamon Bar Contains Dried, Organic Apples Providing Important Fiber And Flavenoids - Healthy Antioxidants Which Can Help Stabilize Blood Sugar When Combined With The Fiber. Cinnamon Has Also Been Recognized To Stabilize Blood Sugar.:    (Note: This Product Description Is Informational Only. Always Check The Actual Product Label In Your Possession For The Most Accurate Ingredient Information Before Use. For Any Health Or Dietary Related Matter Always Consult Your Doctor Before Use.)  "
Guardian Survival Gear FWOR Case of 144 Orange Bars,,($12.53 / 10 Items),NaN,"Millennium Food Bars have a 5-year shelf life and each bar contains 400 calories. These food bars maximize the physiological efficiency of water usage by including low sodium levels. They also include a sufficient amount of carbohydrates and calories to prevent dehydration. This lightweight emergency bar is perfect for traveling, camping, hiking, and disaster preparedness kits. Dimensions:6"" x 2"" x .5""  "
"Quaker Breakfast Cookies Oatmeal Raisin, 6-Count Boxes,10.1-Ounces  (Pack of 6)",18.54,($0.52 /  count),NaN," Live out your childhood dream of eating cookies for breakfast with Quaker Oatmeal Raisin Breakfast Cookies. These chewy cookies taste indulgent but contain whole-grain Quaker Oats, and are an excellent source of iron and calcium, and a good source of fiber (contains 4.5 grams of total fat per serving). With Quaker Breakfast Cookies, you can indulge responsibly while getting the nourishment you want to fuel your morning. Each box contains six cookies. Made with whole-grain Quaker Oats and a sprinkling of chewy raisins. View larger . A Classic Combination of the Flavors of Oatmeal and Raisins This sweet, chewy breakfast cookie is made with whole-grain Quaker Oats and a sprinkling of chewy raisins. Quaker Breakfast Cookies offer an excellent source of iron and calcium, and a good source of fiber (contains 4.5 grams of total fat per serving), giving you the fuel you want to start your morning. They're also available in Oatmeal Chocolate Chip. About Quaker Oats For more than 130 years, Quaker Oats has brought hearty, wholesome oats to families. With the debut of Quaker Quick Oats in 1922 and Quaker Instant Oatmeal in 1966, oat-containing meals became even more accessible. Since then, Quaker's family of products has expanded to include to a variety of cereals, snack bars, cookies, rice snacks, and other delicious foods. What's in the Box Quaker Breakfast Cookies Oatmeal Raisin, 6 Count (Pack of 6). Breakfast Cookies Oatmeal Raisin, 6 Count (Pack of 6) At a Glance:  Delicious oatmeal cookie for breakfast With tangy raisins Made with whole-grain Quaker Oats An excellent source of iron and calcium A good source of fiber Quaker Breakfast Cookies Oatmeal Chocolate Chip Oatmeal Raisin    Cookies can be part of a well-balanced, delicious breakfast – as long as they're Quaker Oatmeal Raisin Breakfast Cookies. Loaded with chewy raisins and baked with whole grain Quaker Oats, they're a good source of calcium, iron and fiber. So relax, and if anyone asks, tell them we said it was all right.  "
"Think Thin Crunch, 10 ea, White Chocolate Dipped Mixed Nuts",32.9,($1.89 /  oz),6 x 5.5 x 2 inches ; 1.5 pounds,"10g Protein. 4g Fiber. Gluten Free. The Low Sugar Nut Bar. Perfectly made for the health nut in all of us, thinkThin Crunch delivers peanuts, almonds, and cashews in one tasty bar. With 70% less sugar than leading fruit and nut bars, our delicious...  "
"Nutri-grain Cereal Bars, Blueberry, 8-count Bars (4 Pack)",24.99,($6.25 /  Item),6.5 x 8 x 6 inches ; 2.6 pounds,"Kellogg's Nutri-Grain Blueberry Cereal Bars
Low on calories, high on nutrition, Nutri-Grain Blueberry Cereal Bars get you on track with energy in a quick and easy package. Made with a soft, golden baked crust of wheat and whole grain oats and filled with real blueberry puree, Nutri-Grain Cereal Bars offer flavor everyone will love. Not only do Blueberry Nutri-Grain Bars taste great--they are packed nine essential vitamins, eight grams of whole grains, three grams of dietary fiber, and two grams of protein--in each bar. Whether you start your day with a Nutri-Grain Cereal Bar, add it to your child's lunch box as sweet nutritious treat, or enjoy it as a mid-day snack, Blueberry Nutri-Grain Bars offer more of what your body needs to live well and help you eat better all day.  "
"Zone Nutrition Bar, Cinn Roll, 1.76-Ounce (Pack of 12)",16.58,($1.42 /  oz),16 x 10 x 6 inches,"12 in a box 1.76oz eachThe taste of fresh-baked cinnamon rolls without the pesky baking. Enjoy the invigorating flavor of a warm, gooey cinnamon bun with enough protein, vitamins and minerals to steamroll over any sugar rush. Bakers and pastry chefs are shaking in their big, puffy hats.  "
"** Ready-To-Eat-Meals, Salami + Cheese, 3.5 oz, 6 per Carton **",34.76,NaN,NaN,"** Nutritious meal in a handy box right at your desk. No heating or refrigeration required. Items are individually wrapped for convenience and freshness. Balanced meal featuring beef salami slices, olive oil and sea salt crackers, asiago gourmet cheese spread, fruit/nut mix and a chocolate cookie cluster. Food Type: Lunch; Flavor: Salami + Cheese; Capacity (Weight): 3 1/2 oz. **  "
Guardian Survival Gear FWVN Case of 144 Vanilla Bars,,($12.50 / 10 Items),NaN,"Millennium Food Bars have a 5-year shelf life and each bar contains 400 calories. These food bars maximize the physiological efficiency of water usage by including low sodium levels. They also include a sufficient amount of carbohydrates and calories to prevent dehydration. This lightweight emergency bar is perfect for traveling, camping, hiking, and disaster preparedness kits. Dimensions:6"" x 2"" x .5""  "
Sunbelt Bakery: Low Fat Oatmeal Raisin Chewy Granola Bars (3 Boxes),14.85,($4.83 /  Item),NaN,"Grab 3 boxes of this great granola bar offering from Sunbelt Bakery!  "
Clif Nutritional Energy Bars White Chocolate Macadamia Nut 12 ea (24 count),48.99,($4.08 /  Item),NaN,"Nutrition For Sustained Energy®

Made with Organic Oats & Soybeans
High In Protein
    No Trans Fats
    23 Vitamins & Minerals
    70% Organic Ingredients
    All Natural  "
Post Fruity Pebbles Treats 8-count Box (Pack of 2),18.95,($9.48 /  Item),NaN,"Post Fruity Pebbles Treats 8-count Box (Pack of 2)  "
South Beach Diet Snack Bars- Whipped Chocolate Almond- 5 Bars (Pack of 3),28.74,($7.98 /  Item),NaN,"South Beach Diet Snack Bars Whipped Chocolate Almond help curb your sweet cravings.  Enjoy fluffy chocolate nougat and crunchy almonds dipped in a delectable chocolate coating.  You may have to hide South Beach Diet Snack Bars from the rest of your family.  "
Larabar Cashew Cookie Bar 16x 1.7OZ,27.0,NaN,NaN,"Cookie monsters (and moms) get ready, Cashew Cookie delivers a wallop of rich and creamy flavor. This 2-ingredient treat is a simple blend of cashews and dates containing 6 grams of protein and 20% of the recommended daily value of Magnesium. A super snack for fending off a cookie craving.  "
100 Raw Organic Manuka Honey,,NaN,NaN,"100 Raw Organic Manuka Honey ACTIVE 16+ 11.5 Ounces Honey  "
Peanut Butter Honey (Case of 12) 1.75 Ounces,34.24,($19.57 /  oz),NaN,"There are some people in the world who dont like chocolate. We dont understand them but we dont want to leave them out. Peanut Butter Honey is the exact same bar as Peanut Butter Chocolate without the cacao. The flavor is wonderful with a sweet, nutty taste. Its simply delicious. Great hemp protein and like all our bars has about 1/2 1/3 of the sugar of every bar out there!Non-GMOGluten FreeUSDA Organic  "
"Earnest Eats Chewy Granola Bars, Superfood Trail Mix - One 6.2-oz. Box",5.95,NaN,NaN,"These chewy granola bars deliver exceptional nutrition and extraordinary flavor. Our superfood grain blend of whole oats, amaranth, and quinoa provide slow-release energy along with the protein, fiber and phytonutrients. Bursting with antioxidants and omega-3's, this Superfood Trail Mix bar's bright pomegranate flavor, whole crunchy almonds and superfood grains - whole oats, quinoa and amaranth will wake up even the most sleepy of taste buds. The Earnest Eats Difference - from the moment you open the package to your very last bite, you can see, taste and smell that Earnest Eats are different. Full of rich flavors and amazing aromas, with lots of whole nuts, fruit and other goodies that you can actually see, Earnest Eats are a feast for the senses. What's the difference? For starters, we believe in the nourishment of whole foods. Not only does food taste better when you use whole ingredients, it keeps you feeling full longer. We source organic ingredients whenever possible, and most importantly, we leave them whole-we don't macerate, extrude or otherwise mush them to a pulp. Earnest Eats are made in small batches and baked in real baking trays. They're minimally processed-which is why you'll sometimes notice that you'll get a big chunk of nuts on one side of your bar and a big chunk of oats on the other. We don't use spray on vitamins, or soy protein powders, we just let the ingredients be themselves. And there you have it. The whole truth, and nothing but the truth. We hope you enjoy our foods. Earnest Eats are made in small batches and baked in real baking trays. They're minimally processed-which is why you'll sometimes notice that you'll get a big chunk of nuts on one side of your plank and a big chunk of oats on the other. We don't use spray on vitamins, or soy protein powders, we just let the ingredients be themselves. And there you have it. The whole truth, and nothing but the truth. We hope you enjoy our foods.  "
"PowerBar Performance Energy Bar, Cookie Dough, 2.29-Ounce Bars (Pack of 24)",39.98,($1.67 /  count),NaN,"The PowerBar Performance Energy Bar is a great choice for use before and during training sessions and high-intensity competitions like running, cycling, and swimming. It's formulated with PowerBar C2MAX dual-source energy blend, a 2:1 glucose to fructose blend found to deliver 20 to 50 percent more energy to muscles than glucose alone and improve endurance performance by 8 percent. Performance Energy Bars also contain 200 milligrams of sodium--a key electrolyte lost in sweat that is associated with muscle cramping in some athletes. Performance Energy Bar At a Glance: Provides more energy to muscles with C2MAX Contains 200 milligrams of sodium, a key electrolyte The original energy bar Low in fat, with 8 to 9 grams of protein per bar No preservatives or artificial flavors Contains 200 milligrams of sodium to replenish electrolytes and prevent fatigue. C2MAX formula provides your muscles with 20 to 50 percent more energy. Energy to Fuel Your Workout Fueling up right can make a big impact on how you feel and perform, no matter what you're tackling. PowerBar Performance Energy Bars are high in easily digestible carbs to top off your muscle glycogen stores before exercise. Each bar contains 3.5 to 5 grams of fat and small amounts of fiber. High-fat and high-fiber foods before exercise can slow down the gastric emptying rate, leaving you more susceptible to stomach discomfort during exercise. Choosing a sports nutrition product like PowerBar Performance Energy bars before and during exercise will give you the energy your muscles need for optimal performance and leave you less likely to experience stomach discomfort. Eat one bar 30 to 60 minutes before exercise, and for events lasting more than 60 minutes, eat one to two bars per hour during exercise. How C2MAX Works Athletes and exercise enthusiasts need to eat adequate amounts of carbohydrates on a daily basis in order to load up on muscle fuel stores of glycogen before and after exercise. You also need carbs during exercise in order to delay the onset of fatigue. PowerBar Performance Energy Bars provide maximum energy delivery with PowerBar C2MAX dual-source energy blend. Transportable carbohydrates--the combination of glucose and fructose found in C2MAX--have been research supported to outperform glucose alone. Through an ever-growing list of published studies, researchers have made a compelling case for transportable carbohydrates as the fuel of choice during endurance exercise. Benefits in comparison to glucose alone include increased delivery of carbohydrate fuel to working muscles; enhanced emptying of fluids from the gut and improved delivery of fluids to the bloodstream; better reliance on ingested carbs as fuel in difficult, high-temperature conditions; and increased endurance performance. This groundbreaking research on transportable carbohydrates is the basis for the muscle-fueling innovation known as PowerBar C2MAX dual-source energy blend. Seeing the incredible performance potential in this cutting-edge research, and, in fact, collaborating with the researchers pioneering this scientific work, PowerBar scientists have incorporated the research-supported 2:1 ratio of glucose and fructose into PowerBar sports nutrition product intended to fuel and hydrate athletes during higher intensity exercise. What's in the Box PowerBar Performance Energy Bar, Cookies and Cream (Pack of 24). Performance Energy Bars Trademark Information: PowerBar® Performance Energy Bar     100% DV energy releasing B Vitamins. 260mg Electrolytes [Electrolytes: Sodium, Potassium and Chloride (Chloride 30mg per bar)]. 23g Complex carbohydrates.  "
Geo Organics Chocolate Cereal Bars (6x16g),5.39,NaN,NaN,"Geo Organics Chocolate Cereal Bars (6x16g)  "
"Atkins Nutritional Granola Bar, Chocolate Chip 1.7 OZ(Pack of 12)",35.14,($2.94 /  Item),NaN,"Atkins Advantage Granola Bar, Chocolate Chip, 1.7 Ounce,High in Protein,19 Vitamins & Minerals,Good Source of Calcium  "
Eat Natural 70% Dark Chocolate Brazil & Apricot (3x45g),7.59,NaN,NaN,"Gluten free. Ok for veggies. Darker Chocolate We've discovered the perfect accompaniment to our sweet apricots, cranberries and sultanas, in this intense and fragrant 70% cocoa solids 'darker' chocolate. Its bittersweet flavour is so floral and fruity, you'd think it was picked from the same trees. Brazils Brazil nuts only ever grow wild in the forest - they just can't be cultivated like other nuts. As far as we're concerned, that makes them pretty special. When it comes to their taste, that's pretty special too. We like to use huge pieces, gently roasted for extra crunch. Apricots At Eat Natural, we prefer dried apricots to taste of.. apricots! So, unlike the bright orange ones you may be more familiar with, ours don't contain any preservatives. They're dried naturally in the sun, giving them their rich, dark colour and authentic caramel sweetness. Cranberries A cranberry is not just for Christmas you know? These beautiful little bouncing balls, bursting with goodness, are perfect all year round. Slightly sweetened to make them less sharp and acidic, these normally festive friends are filled with fruitiness. All Eat Natural bars are made with love and care from simple ingredients, in small batches at our own Makery. We never use artificial flavours, colours or preservatives. Here at Eat Natural, when we say 'natural', what exactly do we mean? Well, clearly it would be wrong of us to claim that everything in this bar is '100% natural' and simply 'grows on trees'. Obviously, some ingredients need to be cleaned, dried and roasted too, and therefore, to some extent, 'processed'. It's just that we believe, the less we mess with it.. the better it tastes. That's why we never add any artificial flavours or colours, or any preservatives. Find us on Facebook Twitter@EatNaturalBars  "
"Luna Lemon Zest Snack Bar, 1.7 Ounce -- 240 per case.",256.45,($23.06 / 10 Items),NaN,"Luscious zing of lemon and zest with a smooth, creamy coating How can something so good for us be so delicious Its simple. Start with the best ingredients possible (nothing artificial, 70 Percent organic) and nutrition that matters most to women. Mix with flavors that make mouths water and the rest is sweet (and healthy) history. High in calcium and folic acid Rich in antioxidants A, C, E 9g protein, 3g fiber Kosher, Organic, Vegan View Nutrition Fact  "
"Kind Nuts & Spices Bars (Variety, 24 Count)",,NaN,NaN," KIND Cranberry Almond + Antioxidants is a delicious blend of tangy cranberries and whole almonds. Cranberry Almond + Antioxidants contains 50% of the recommended daily intake of Vitamins A, C, and E, which fight free radical, and help maintain the immune system and healthy skin. KIND Almond & Coconut is a naturally sweet and chewy blend of whole almonds and coconut. Nuts are a natural source of Vitamin E, fiber and monounsaturated fats. These nutrients work together to lower cholesterol and reduce the risk of heart disease. KIND Peanut Butter Dark Chocolate + Protein is a healthy & satisfying blend of peanuts and atioxidant-rich dark chocolate. Peanut Butter Dark Chocolate + Protein contains 7 grams of protein, which promotes satiety and strengthens bones, muscles and skin. KIND Nuts & Spices is a line of bars finely crafted from the highest quality whole nuts and nature's most delicious spices. Each seemingly indulgent recipe provides all natural protein, fiber and only 5g of sugar (or less). And nothing artificial. Only 5g Sugar All Natural/Non-GMONo Sugar AlcoholsGluten Free 7g Fiber Low GlycemicCholesterol FreeDairy Free 5g Protein No Trans FatsVery Low SodiumOU Kosher  "
