@info
{
    "table":{
        "name":"gold",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"tableA.id",
                "type":"INTEGER"
            },
            {
                "name":"tableB.id",
                "type":"INTEGER"
            },
            {
                "name":"tableA.title",
                "type":"TEXT"
            },
            {
                "name":"tableA.price",
                "type":"FLOAT"
            },
            {
                "name":"tableA.brand",
                "type":"TEXT"
            },
            {
                "name":"tableA.weight",
                "type":"TEXT"
            },
            {
                "name":"tableA.size",
                "type":"TEXT"
            },
            {
                "name":"tableB.title",
                "type":"TEXT"
            },
            {
                "name":"tableB.price",
                "type":"FLOAT"
            },
            {
                "name":"tableB.description",
                "type":"TEXT"
            },
            {
                "name":"tableB.variation_size",
                "type":"TEXT"
            },
            {
                "name":"tableB.size",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairId:INTEGER,tableA.id:INTEGER,tableB.id:INTEGER,tableA.title:TEXT,tableA.price:FLOAT,tableA.brand:TEXT,tableA.weight:TEXT,tableA.size:TEXT,tableB.title:TEXT,tableB.price:FLOAT,tableB.description:TEXT,tableB.variation_size:TEXT,tableB.size:TEXT,label:INTEGER
31029,8,1874,kellogg's pop-tarts frosted strawberry & frosted brown sugar cinnamon toaster pastries  48 count  86.2 oz,9.98,Kellogg's Poptarts,86.2,NA,kellogg's pop tarts frosted brown sugar cinnamon  12 count (pack of 3),14.99,kellogg's pop tarts,NA,3.0,0
50427,13,447,great value corn flakes cereal  18 oz,-1.0,Great Value,18,NA,great value chewy fiber bars  5-1.4 oz (40g),14.0,great value chewy,1.4,NA,0
58715,15,405,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,annie's organic peanutty granola bars 6.9 oz (pack of 6),33.35,annie's organic peanutty,6.9,6.0,0
58748,15,438,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,nature's path organic optimum slim 14.0 oz (pack of 6),52.56,nature's path organic,14.0,6.0,0
59158,15,848,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,skout  organic apple - cinnamon trailbar 1.8 oz (pack of 12),27.33,skout  organic,1.8,12.0,0
61074,15,2764,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,jimmybar how bout dem apples   1.6 oz (pack of 6),16.95,jimmybar how bout,1.6,6.0,0
61347,15,3037,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,jimmybar super hip chocolate chip  1.6 oz (pack of 6),16.95,jimmybar super hip,1.6,6.0,0
61413,15,3103,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,jimmybar peanut butter clutter  1.6 oz (pack of 6),16.95,jimmybar peanut butter,1.6,6.0,0
62260,15,3950,country choice organic irish style oats  24 oz (pack of 6),25.58,Country Choice,24,6.0,walden farms  drssng cf russian  12 oz (pack of 6),30.96,"walden farms ",12,6.0,0
63916,16,1441,kind healthy grains maple quinoa clusters with chia seeds  11 oz,-1.0,Kind,11,NA,kind healthy grains cinnamon oat clusters w flax seeds 11oz,10.01,kind healthy grains,11,NA,0
66206,16,3731,kind healthy grains maple quinoa clusters with chia seeds  11 oz,-1.0,Kind,11,NA,kind peanut butter whole grain clusters  11 oz,7.99,kind peanut butter,11,NA,0
71683,18,878,quaker chocolate chip instant oatmeal  1.23 oz  10 count,-1.0,Quaker Oatmeal,1.23,NA,quaker chewy granola bars  chocolate chip  18 count,4.49,quaker chewy granola,NA,NA,0
72895,18,2090,quaker chocolate chip instant oatmeal  1.23 oz  10 count,-1.0,Quaker Oatmeal,1.23,NA,quaker chewy chocolate chip granola bars  0.84 oz  24 count,14.99,quaker chewy chocolate,0.84,NA,0
75471,19,501,sprout rise organic purple berry & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,sprout rise morning multigrain crunch bites  red berry and beet  3.75 ounce,6.6,sprout rise morning,3.75,NA,0
75511,19,541,sprout rise organic purple berry & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,sprout rise morning multigrain crunch bites  orange fruit and carrot  3.75 ounce,8.76,sprout rise morning,3.75,NA,0
78319,19,3349,sprout rise organic purple berry & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,sprout rise morning multigrain crunch bites  purple berry and carrot  3.75 ounce,6.6,sprout rise morning,3.75,NA,1
79581,20,446,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature valley granola bars  crunchy  oats 'n honey8.9 oz (pack of 2),9.5,nature valley granola,8.9,2.0,0
80278,20,1143,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature valley oats 'n honey crunchy granola bars  1.5 oz  18 count,12.71,nature valley oats,1.5,NA,0
80296,20,1161,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature granola bars crunchy oats 'n honey 17.8 oz (pack of 18),150.44,nature granola bars,17.8,18.0,0
80313,20,1178,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature valley granola bars; crunchy oats 'n honey  1.5-oz.  28/box,95.96,nature valley granola,NA,NA,0
80373,20,1238,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,honey bunches of oats granola crunchy honey roasted 11 oz. (2 pack),13.49,honey bunches of,11,NA,1
80940,20,1805,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,honey bunches of oats granola crunchy raspberry 2pack (11oz each bag),10.99,honey bunches of,11,NA,1
82104,20,2969,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature crunchy granola bars oats 'n honey 8.9 oz (pack of 24),111.69,nature crunchy granola,8.9,24.0,0
82639,20,3504,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature's valley granola bars  crunchy oats n honey  60 count,15.89,nature's valley granola,NA,NA,0
82759,20,3624,post honey bunches of oats crunchy raspberry granola  11 oz,-1.0,Generic,11,NA,nature valley crunchy granola bars oats 'n honey  96-count,25.99,nature valley crunchy,NA,NA,0
88374,22,909,natures path cereal 10oz pack of 12,76.23,NATURES PATH,10,12.0,2.50oz sc&onion pringles pack of 12,18.27,2.50oz sc&onion pringles,2.50,12.0,0
88959,22,1494,natures path cereal 10oz pack of 12,76.23,NATURES PATH,10,12.0,2.50oz bbq pringles pack of 12,18.27,2.50oz bbq pringles,2.50,12.0,0
92077,23,447,great value quick farina hot cereal  28 oz,-1.0,Great Value,28,NA,great value chewy fiber bars  5-1.4 oz (40g),14.0,great value chewy,1.4,NA,0
108592,27,302,quaker real medleys cherry pistachio oatmeal  2.57 oz,-1.0,Quaker Oatmeal,2.57,NA,quaker real medleys bars  cherry pistachio  13.4 ounce,12.72,quaker real medleys,13.4,NA,0
111485,27,3195,quaker real medleys cherry pistachio oatmeal  2.57 oz,-1.0,Quaker Oatmeal,2.57,NA,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA,0
115650,28,3195,quaker real medleys apple walnut oatmeal  2.64 oz,-1.0,Quaker,2.64,NA,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA,0
115737,28,3282,quaker real medleys apple walnut oatmeal  2.64 oz,-1.0,Quaker,2.64,NA,quaker real medleys bars  apple nut harvest  13.4 ounce,13.85,quaker real medleys,13.4,NA,0
117529,29,909,erewhon cereal 10oz pack of 12,71.48,Erewhon,10,12.0,2.50oz sc&onion pringles pack of 12,18.27,2.50oz sc&onion pringles,2.50,12.0,0
118114,29,1494,erewhon cereal 10oz pack of 12,71.48,Erewhon,10,12.0,2.50oz bbq pringles pack of 12,18.27,2.50oz bbq pringles,2.50,12.0,0
122833,30,2048,kellogg's pop-tarts frosted strawberry toaster pastries  16 count  29.3 oz,3.5,Kellogg's Poptarts,29.3,NA,kellogg's nutri-grain bars  strawberry  16 count,4.78,kellogg's nutri-grain bars,NA,NA,0
136475,33,3195,quaker real medleys summer berry oatmeal  2.24 oz,-1.0,Quaker Oatmeal,2.24,NA,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA,0
140640,34,3195,quaker apples & cranberries instant oatmeal  1.79 oz,-1.0,Quaker Oatmeal,1.79,NA,quaker breakfast cookies  oatmeal raisin  10.1 oz,4.99,quaker breakfast cookies,10.1,NA,0
146068,36,293,natures path granola 11oz pack of 8,60.36,NATURES PATH,11,8.0,natures path hempplus granola  11.5 oz,32.92,natures path hempplus,11.5,NA,0
154250,38,145,two moms in the raw granola 4ea pack of 6,71.48,Two Moms In The Raw,NA,6.0,two moms in the raw gojiberry bar (24x2oz ),95.28,two moms in,2,NA,1
158415,39,145,two moms in the raw granola 4ea pack of 6,74.34,Two Moms In The Raw,NA,6.0,two moms in the raw gojiberry bar (24x2oz ),95.28,two moms in,2,NA,1
167509,41,909,ancient harvest quinoa 6.5oz pack of 12,54.14,Ancient Harvest,6.5,12.0,2.50oz sc&onion pringles pack of 12,18.27,2.50oz sc&onion pringles,2.50,12.0,0
168094,41,1494,ancient harvest quinoa 6.5oz pack of 12,54.14,Ancient Harvest,6.5,12.0,2.50oz bbq pringles pack of 12,18.27,2.50oz bbq pringles,2.50,12.0,0
170961,42,196,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,nature valley granola bars oats & honey 6 oz box,9.72,nature valley granola,6,NA,0
172415,42,1650,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,nature valley sweet & salty nut peanut of 1.2 oz -48 bars,24.85,nature valley sweet,1.2,NA,0
172440,42,1675,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,pampa fruit & grain bars strawberry  6 oz (pack of 14),43.2,pampa fruit &,6,14.0,0
174035,42,3270,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,peanut sweet & salty chewy granola bars 10 count (8 boxes),33.0,peanut sweet &,NA,NA,0
174208,42,3443,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,fiber one - oats & chocolate  20 x 1.4 oz bars,7.87,fiber one -,1.4,NA,0
174326,42,3561,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,nature valley sweet and salty nut granola bars  cashew  6 count,2.98,nature valley sweet,NA,NA,0
174805,42,4040,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,nature valley sweet & salty peanut granola bar  7.4 oz,-1.0,nature valley sweet,7.4,NA,0
174914,42,4149,mariani sweet & salty honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,zoneperfect sweet & salty cashew pretzel nutrition bars  5 count,12.77,zoneperfect sweet &,NA,NA,0
176979,43,2049,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,quaker banana nut bread soft baked bars   7.4 oz (pack of 12),46.49,quaker banana nut,7.4,12.0,0
177038,43,2108,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,nakd banana bread raw fruit  oat & nut wholefood bars (4x30g),-1.0,nakd banana bread,NA,NA,0
177223,43,2293,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,quaker cinnamon pecan bread soft baked bars   7.4 oz (pack of 12),70.36,quaker cinnamon pecan,7.4,12.0,0
177412,43,2482,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,quaker soft baked cereal bar  banana nut bread  7.4-ounce packages (pack of 6),13.08,quaker soft baked,NA,6.0,0
178240,43,3310,quaker soft baked bars banana nut bread  7.4oz  7.4 oz,2.18,Quaker,7.4,NA,quaker chewy dipps granola bars  caramel nut  6.52 oz,9.46,quaker chewy dipps,6.52,NA,0
182516,44,3421,mariani sweet & salty honey bar  1.4 oz,-1.0,Mariani,1.4,NA,bar  almond & apricot  1.4 oz ( value bulk multi-pack),50.12,bar  almond,1.4,NA,0
182687,44,3592,mariani sweet & salty honey bar  1.4 oz,-1.0,Mariani,1.4,NA,chatfield's bar mixed nut & frt honey 1.4 oz (pack of 12),21.6,chatfield's bar mixed,1.4,12.0,0
183135,44,4040,mariani sweet & salty honey bar  1.4 oz,-1.0,Mariani,1.4,NA,nature valley sweet & salty peanut granola bar  7.4 oz,-1.0,nature valley sweet,7.4,NA,0
184371,45,1111,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,kellogg's  nutri-grain apple cinnamon cereal bars  8 ct  10.4 oz,12.39,kellogg's  nutri-grain,10.4,NA,0
185099,45,1839,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,kellogg's nutri-grain bar  toffee crunch  5 - 1.48 oz pouches  net wt. 7.4 ounce,7.32,kellogg's nutri-grain bar,1.48,NA,0
185242,45,1982,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,nature valley crunchy apple crisp granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA,0
185552,45,2292,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,kellogg's nutri grain fruit crunch  apple cobbler  7.4 oz boxes (3 pack),21.05,kellogg's nutri grain,7.4,NA,0
185696,45,2436,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,nature valley crunchy pecan crunch granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA,0
186044,45,2784,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,nutri-grain fruit crunch  apple cobbler  2 bar pouches  1.48 oz  5-count,6.22,nutri-grain fruit crunch,1.48,NA,0
186108,45,2848,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,kellogg's nutri-grain fruit crunch  apple cobbler  7.4-oz boxes (pack of 6),31.4,kellogg's nutri-grain fruit,NA,6.0,0
186617,45,3357,kellogg's nutri-grain fruit crunch apple cobbler granola bars  1.48 oz  5 count,2.78,Nutri-Grain,1.48,NA,betty lou's jumbo fruit bars  cinnamon apple  2 oz - 5 pack,144.44,betty lou's jumbo,2,NA,0
188268,46,843,quaker soft baked bars cinnamon pecan bread  7.4 oz,2.18,Quaker,7.4,NA,quaker soft baked bar  cinnamon pecan bread  7.4-ounce (pack of 6),13.08,quaker soft baked,NA,6.0,0
189474,46,2049,quaker soft baked bars cinnamon pecan bread  7.4 oz,2.18,Quaker,7.4,NA,quaker banana nut bread soft baked bars   7.4 oz (pack of 12),46.49,quaker banana nut,7.4,12.0,0
189718,46,2293,quaker soft baked bars cinnamon pecan bread  7.4 oz,2.18,Quaker,7.4,NA,quaker cinnamon pecan bread soft baked bars   7.4 oz (pack of 12),70.36,quaker cinnamon pecan,7.4,12.0,0
191849,47,259,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,nature valley dark chocolate cherry trail mix bars  6 ct,-1.0,nature valley dark,NA,NA,0
192087,47,497,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,kashi trail mix chewy granola bars  18 count,38.73,kashi trail mix,NA,NA,0
193417,47,1827,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,nature valley trail mix fruit & nut chewy granola bars  1.2 oz  6 count,-1.0,nature valley trail,1.2,NA,0
193435,47,1845,mariani trail mix honey bars  1.4 oz  6 count,-1.0,Mariani,1.4,NA,kashi  tlc chewy trail mix granola bars  6 ct  7.4 oz,8.99,kashi  tlc,7.4,NA,0
195865,48,110,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,18 rabbits cherry dark chocolate & almond 1.6 oz (pack of 12),27.5,18 rabbits cherry,1.6,12.0,0
195871,48,116,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,nature valley almond crunch granola bars 7.2 oz (pack of 12),74.57,nature valley almond,7.2,12.0,0
196027,48,272,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,nature granola bars roasted nut almond crunch 7.2 oz (pack of 24),119.44,nature granola bars,7.2,24.0,0
196160,48,405,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,annie's organic peanutty granola bars 6.9 oz (pack of 6),33.35,annie's organic peanutty,6.9,6.0,0
196544,48,789,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,quaker chewy granola bar  variety pack  8-count (pack of 6),14.64,quaker chewy granola,NA,6.0,0
196835,48,1080,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,nature granola bars crunchy roasted almond 8.9 oz (pack of 24),113.57,nature granola bars,8.9,24.0,0
196874,48,1119,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,udi's gluten free au naturel granola (pack of 6),39.99,udi's gluten free,NA,6.0,0
197040,48,1285,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,nutritious living hi-lo vanilla almond cereal  10-ounce units (pack of 6),37.24,nutritious living hi-lo,NA,6.0,0
197397,48,1642,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,bakery on main cinnamon raisin fiber granola 12 oz (pack of 6),47.3,bakery on main,12,6.0,0
197430,48,1675,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,pampa fruit & grain bars strawberry  6 oz (pack of 14),43.2,pampa fruit &,6,14.0,0
197671,48,1916,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,sunbelt oat & honey chewy granola bars  8 oz (pack of 3),11.0,sunbelt oat &,8,3.0,0
197764,48,2009,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,kashi honey almond flax chewy granola bars net wt 7.4 oz (pack of 6),41.88,kashi honey almond,7.4,6.0,0
198043,48,2288,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,quaker warm & crunchy granola cranberry almond 13.5 oz (pack of 6),51.53,quaker warm &,13.5,6.0,0
198519,48,2764,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,jimmybar how bout dem apples   1.6 oz (pack of 6),16.95,jimmybar how bout,1.6,6.0,0
198686,48,2931,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,udi's granola bar  cranberry almond  gluten-free 1.23 oz. 5-count (pack of 6),40.99,udi's granola bar,1.23,6.0,0
198727,48,2972,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,nature valley granola thins  10 bars (pack of 6),9.44,nature valley granola,NA,6.0,0
198792,48,3037,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,jimmybar super hip chocolate chip  1.6 oz (pack of 6),16.95,jimmybar super hip,1.6,6.0,0
198800,48,3045,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,ratio protein bars  granola  2.33 ounce (pack of 6),32.4,ratio protein bars,2.33,6.0,0
198846,48,3091,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,annie's homegrown berry berry granola bar 6.9 oz (pack of 6),27.95,annie's homegrown berry,6.9,6.0,0
198858,48,3103,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,jimmybar peanut butter clutter  1.6 oz (pack of 6),16.95,jimmybar peanut butter,1.6,6.0,0
198870,48,3115,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,coconut secret coconut bar  almond  1.75-ounce (pack of 6),36.97,coconut secret coconut,NA,6.0,0
198876,48,3121,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,granola bar og2 trail mi 6.2 oz (pack of 6),38.01,granola bar og2,6.2,6.0,0
198981,48,3226,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,kind plus antioxidants  cranberry & almond snack bar (pack of 2),55.99,kind plus antioxidants,NA,2.0,0
199005,48,3250,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,snacklemouth granola nut cluster  almond berry 5.5 oz. (pack of 15),63.93,snacklemouth granola nut,5.5,15.0,0
199093,48,3338,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,atkins advantage peanut fudge granola bar 8.5 oz (pack of 6),74.99,atkins advantage peanut,8.5,6.0,0
199319,48,3564,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,achva vanilla sesame havla  16-ounce containers (pack of 6),41.99,achva vanilla sesame,NA,6.0,0
199399,48,3644,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,nature valley sweet & salty nut granola bars  almond  7.4 oz  (pack of 3),21.0,nature valley sweet,7.4,3.0,0
199610,48,3855,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,boulder granola granola  cranberry  3 ounce (pack of 6),16.15,boulder granola granola,3,6.0,0
199705,48,3950,udi's vanilla & almond granola  13 oz (pack of 6),27.39,Udi's,13,6.0,walden farms  drssng cf russian  12 oz (pack of 6),30.96,"walden farms ",12,6.0,0
204158,50,73,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,betty lou's gluten free fruit bars apple cinnamon -- 2 oz,17.23,betty lou's gluten,2,NA,0
204532,50,447,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,great value chewy fiber bars  5-1.4 oz (40g),14.0,great value chewy,1.4,NA,0
204731,50,646,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,nakd apple pie raw fruit  oat & nut wholefood bars (4x30g),8.99,nakd apple pie,NA,NA,0
205196,50,1111,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,kellogg's  nutri-grain apple cinnamon cereal bars  8 ct  10.4 oz,12.39,kellogg's  nutri-grain,10.4,NA,0
205321,50,1236,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,gerber graduates apple cinnamon fruit & cereal bars  8-count bars (pack of 6),27.95,gerber graduates apple,NA,6.0,0
205760,50,1675,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,pampa fruit & grain bars strawberry  6 oz (pack of 14),43.2,pampa fruit &,6,14.0,0
205820,50,1735,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,wgmns cereal bars  fruit & grain  apple cinnamon  10.4 oz. (pack of 6),27.5,wgmns cereal bars,10.4,6.0,0
206334,50,2249,great value apple cinnamon fruit & grain bars  10.4 oz,2.0,Great Value,10.4,NA,kind fruit & nut bars apple cinnamon and pecan 12 count,23.99,kind fruit &,NA,NA,0
